,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Network Security Groups,"['https://docs.microsoft.com/en-us/azure/virtual-network/network-security-groups-overview', 'https://docs.microsoft.com/en-us/azure/virtual-network/network-security-group-how-it-works', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-adaptive-network-hardening']",0,,0,T1199,Trusted Relationship,,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']"
1,Network Security Groups,"['https://docs.microsoft.com/en-us/azure/virtual-network/network-security-groups-overview', 'https://docs.microsoft.com/en-us/azure/virtual-network/network-security-group-how-it-works', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-adaptive-network-hardening']",1,,1,T1557,Man-in-the-Middle,,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']"
2,Network Security Groups,"['https://docs.microsoft.com/en-us/azure/virtual-network/network-security-groups-overview', 'https://docs.microsoft.com/en-us/azure/virtual-network/network-security-group-how-it-works', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-adaptive-network-hardening']",2,,2,T1602,Data from Configuration Repository,,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']"
3,Network Security Groups,"['https://docs.microsoft.com/en-us/azure/virtual-network/network-security-groups-overview', 'https://docs.microsoft.com/en-us/azure/virtual-network/network-security-group-how-it-works', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-adaptive-network-hardening']",3,,3,T1542,Pre-OS Boot,,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']"
4,Network Security Groups,"['https://docs.microsoft.com/en-us/azure/virtual-network/network-security-groups-overview', 'https://docs.microsoft.com/en-us/azure/virtual-network/network-security-group-how-it-works', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-adaptive-network-hardening']",4,,4,T1048,Exfiltration Over Alternative Protocol,,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']"
5,Network Security Groups,"['https://docs.microsoft.com/en-us/azure/virtual-network/network-security-groups-overview', 'https://docs.microsoft.com/en-us/azure/virtual-network/network-security-group-how-it-works', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-adaptive-network-hardening']",5,,5,T1210,Exploitation of Remote Services,,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']"
6,Network Security Groups,"['https://docs.microsoft.com/en-us/azure/virtual-network/network-security-groups-overview', 'https://docs.microsoft.com/en-us/azure/virtual-network/network-security-group-how-it-works', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-adaptive-network-hardening']",6,,6,T1021,Remote Services,,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']"
7,Network Security Groups,"['https://docs.microsoft.com/en-us/azure/virtual-network/network-security-groups-overview', 'https://docs.microsoft.com/en-us/azure/virtual-network/network-security-group-how-it-works', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-adaptive-network-hardening']",7,,7,T1072,Software Deployment Tools,,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']"
8,Network Security Groups,"['https://docs.microsoft.com/en-us/azure/virtual-network/network-security-groups-overview', 'https://docs.microsoft.com/en-us/azure/virtual-network/network-security-group-how-it-works', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-adaptive-network-hardening']",8,,8,T1133,External Remote Services,,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']"
9,Network Security Groups,"['https://docs.microsoft.com/en-us/azure/virtual-network/network-security-groups-overview', 'https://docs.microsoft.com/en-us/azure/virtual-network/network-security-group-how-it-works', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-adaptive-network-hardening']",9,,9,T1482,Domain Trust Discovery,,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']"
