,score-category,score-value,related-score,tags,attack-object-key
0,Protect,Partial,False,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']",0
1,Protect,Partial,False,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']",1
2,Protect,Partial,True,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']",2
3,Protect,Minimal,True,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']",3
4,Protect,Significant,True,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']",4
5,Protect,Partial,False,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']",5
6,Protect,Partial,True,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']",6
7,Protect,Partial,False,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']",7
8,Protect,Partial,False,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']",8
9,Protect,Partial,False,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']",9
10,Protect,Partial,False,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']",10
11,Protect,Partial,False,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']",11
12,Protect,Significant,False,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']",12
13,Protect,Partial,True,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']",13
14,Protect,Partial,False,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']",14
15,Protect,Partial,False,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']",15
16,Protect,Partial,True,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']",16
17,Protect,Partial,False,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']",17
18,Protect,Partial,True,"['Adaptive Network Hardening', 'Azure Security Center Recommendation', 'Network']",18
