,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Azure Security Center Recommendations,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",0,,0,T1040,Network Sniffing,,"['Azure Security Center', 'Azure Security Center Recommendation']"
1,Azure Security Center Recommendations,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",1,,1,T1190,Exploit Public-Facing Application,,"['Azure Security Center', 'Azure Security Center Recommendation']"
2,Azure Security Center Recommendations,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",2,,2,T1110,Brute Force,,"['Azure Security Center', 'Azure Security Center Recommendation']"
3,Azure Security Center Recommendations,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",3,,3,T1542,Pre-OS Boot,,"['Azure Security Center', 'Azure Security Center Recommendation']"
4,Azure Security Center Recommendations,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",4,,4,T1499,Endpoint Denial of Service,,"['Azure Security Center', 'Azure Security Center Recommendation']"
5,Azure Security Center Recommendations,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",5,,5,T1525,Implant Container Image,,"['Azure Security Center', 'Azure Security Center Recommendation']"
6,Azure Security Center Recommendations,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",6,,6,T1068,Exploitation for Privilege Escalation,,"['Azure Security Center', 'Azure Security Center Recommendation']"
7,Azure Security Center Recommendations,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",7,,7,T1098,Account Manipulation,,"['Azure Security Center', 'Azure Security Center Recommendation']"
8,Azure Security Center Recommendations,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",8,,8,T1554,Compromise Client Software Binary,,"['Azure Security Center', 'Azure Security Center Recommendation']"
9,Azure Security Center Recommendations,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",9,,9,T1136,Create Account,,"['Azure Security Center', 'Azure Security Center Recommendation']"
10,Azure Security Center Recommendations,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",10,,10,T1543,Create or Modify System Process,,"['Azure Security Center', 'Azure Security Center Recommendation']"
11,Azure Security Center Recommendations,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",11,,11,T1546,Event Triggered Execution,,"['Azure Security Center', 'Azure Security Center Recommendation']"
12,Azure Security Center Recommendations,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",12,,12,T1505,Server Software Component,,"['Azure Security Center', 'Azure Security Center Recommendation']"
13,Azure Security Center Recommendations,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']",13,,13,T1222,File and Directory Permissions Modification,,"['Azure Security Center', 'Azure Security Center Recommendation']"
