,comments,id,name,references,tags,mapping-description,mapping-target,metadata-key,key
0,,T1078,Valid Accounts,"['https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/howto-identity-protection-investigate-risk', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/overview-identity-protection', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/concept-identity-protection-risks', 'https://techcommunity.microsoft.com/t5/azure-active-directory-identity/azuread-identity-protection-adds-support-for-federated/ba-p/244328']","['Credentials', 'Azure Active Directory', 'Identity', 'Microsoft 365 Defender']",,Azure AD Identity Protection,0,0
1,,T1078,Valid Accounts,"['https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/howto-identity-protection-investigate-risk', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/overview-identity-protection', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/concept-identity-protection-risks', 'https://techcommunity.microsoft.com/t5/azure-active-directory-identity/azuread-identity-protection-adds-support-for-federated/ba-p/244328']","['Credentials', 'Azure Active Directory', 'Identity', 'Microsoft 365 Defender']",,Azure AD Identity Protection,1,1
2,,T1606,Forge Web Credentials,"['https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/howto-identity-protection-investigate-risk', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/overview-identity-protection', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/concept-identity-protection-risks', 'https://techcommunity.microsoft.com/t5/azure-active-directory-identity/azuread-identity-protection-adds-support-for-federated/ba-p/244328']","['Credentials', 'Azure Active Directory', 'Identity', 'Microsoft 365 Defender']",,Azure AD Identity Protection,2,2
3,,T1606,Forge Web Credentials,"['https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/howto-identity-protection-investigate-risk', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/overview-identity-protection', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/concept-identity-protection-risks', 'https://techcommunity.microsoft.com/t5/azure-active-directory-identity/azuread-identity-protection-adds-support-for-federated/ba-p/244328']","['Credentials', 'Azure Active Directory', 'Identity', 'Microsoft 365 Defender']",,Azure AD Identity Protection,3,3
4,,T1110,Brute Force,"['https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/howto-identity-protection-investigate-risk', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/overview-identity-protection', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/concept-identity-protection-risks', 'https://techcommunity.microsoft.com/t5/azure-active-directory-identity/azuread-identity-protection-adds-support-for-federated/ba-p/244328']","['Credentials', 'Azure Active Directory', 'Identity', 'Microsoft 365 Defender']",,Azure AD Identity Protection,4,4
5,,T1110,Brute Force,"['https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/howto-identity-protection-investigate-risk', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/overview-identity-protection', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/concept-identity-protection-risks', 'https://techcommunity.microsoft.com/t5/azure-active-directory-identity/azuread-identity-protection-adds-support-for-federated/ba-p/244328']","['Credentials', 'Azure Active Directory', 'Identity', 'Microsoft 365 Defender']",,Azure AD Identity Protection,5,5
6,,T1078,Valid Accounts,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,6,6
7,,T1059,Command and Scripting Interpreter,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,7,7
8,,T1204,User Execution,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,8,8
9,,T1547,Boot or Logon Autostart Execution,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,9,9
10,,T1136,Create Account,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,10,10
11,,T1543,Create or Modify System Process,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,11,11
12,,T1546,Event Triggered Execution,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,12,12
13,,T1548,Abuse Elevation Control Mechanism,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,13,13
14,,T1055,Process Injection,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,14,14
15,,T1203,Exploitation for Client Execution,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,15,15
16,,T1212,Exploitation for Credential Access,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,16,16
17,,T1211,Exploitation for Defense Evasion,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,17,17
18,,T1068,Exploitation for Privilege Escalation,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,18,18
19,,T1210,Exploitation of Remote Services,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,19,19
20,,T1190,Exploit Public-Facing Application,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,20,20
21,,T1189,Drive-by Compromise,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,21,21
22,,T1140,Deobfuscate/Decode Files or Information,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,22,22
23,,T1222,File and Directory Permissions Modification,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,23,23
24,,T1564,Hide Artifacts,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,24,24
25,,T1562,Impair Defenses,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,25,25
26,,T1070,Indicator Removal on Host,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,26,26
27,,T1112,Modify Registry,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,27,27
