,score-category,score-value,related-score,tags,attack-object-key
0,Protect,Significant,False,"['Multi-Factor Authentication', 'Phishing']",0
1,Protect,Significant,False,"['Multi-Factor Authentication', 'Phishing']",1
2,Protect,Significant,False,"['Multi-Factor Authentication', 'Phishing']",2
3,Protect,Significant,False,"['Multi-Factor Authentication', 'Phishing']",3
4,Protect,Significant,False,"['Multi-Factor Authentication', 'Phishing']",4
5,Protect,Significant,False,"['Multi-Factor Authentication', 'Phishing']",5
6,Protect,Significant,False,"['Multi-Factor Authentication', 'Phishing']",6
7,Protect,Significant,False,"['Multi-Factor Authentication', 'Phishing']",7
8,Protect,Significant,False,"['Multi-Factor Authentication', 'Phishing']",8
9,Protect,Significant,False,"['Multi-Factor Authentication', 'Phishing']",9
10,Protect,Significant,False,"['Multi-Factor Authentication', 'Phishing']",10
11,Protect,Significant,False,"['Multi-Factor Authentication', 'Phishing']",11
12,Protect,Significant,False,"['Multi-Factor Authentication', 'Phishing']",12
13,Protect,Significant,False,"['Multi-Factor Authentication', 'Phishing']",13
