,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,AnthosConfigManagement,['https://cloud.google.com/anthos-config-management/ '],0,,0,T1552.007,Container API,,"['Configuration Management', 'Containers', 'Policy']"
1,AnthosConfigManagement,['https://cloud.google.com/anthos-config-management/ '],1,,1,T1525,Implant Internal Image,,"['Configuration Management', 'Containers', 'Policy']"
2,AnthosConfigManagement,['https://cloud.google.com/anthos-config-management/ '],2,,2,T1525,Implant Internal Image,,"['Configuration Management', 'Containers', 'Policy']"
3,AnthosConfigManagement,['https://cloud.google.com/anthos-config-management/ '],3,,3,T1609,Container Administration Command,,"['Configuration Management', 'Containers', 'Policy']"
4,AnthosConfigManagement,['https://cloud.google.com/anthos-config-management/ '],4,,4,T1610,Deploy Container,,"['Configuration Management', 'Containers', 'Policy']"
5,AnthosConfigManagement,['https://cloud.google.com/anthos-config-management/ '],5,,5,T1613,Container and Resource Discovery,,"['Configuration Management', 'Containers', 'Policy']"
6,AnthosConfigManagement,['https://cloud.google.com/anthos-config-management/ '],6,,6,T1611,Escape to Host,,"['Configuration Management', 'Containers', 'Policy']"
7,AnthosConfigManagement,['https://cloud.google.com/anthos-config-management/ '],7,,7,T1078,Valid Accounts,,"['Configuration Management', 'Containers', 'Policy']"
8,AnthosConfigManagement,['https://cloud.google.com/anthos-config-management/ '],8,,8,T1078.001,Default Accounts,,"['Configuration Management', 'Containers', 'Policy']"
9,AnthosConfigManagement,['https://cloud.google.com/anthos-config-management/ '],9,,9,T1078.004,Cloud Accounts,,"['Configuration Management', 'Containers', 'Policy']"
