,score-category,score-value,related-score,tags,attack-object-key
0,Protect,Partial,False,"['Configuration Management', 'Containers', 'Policy']",0
1,Protect,Partial,False,"['Configuration Management', 'Containers', 'Policy']",1
2,Detect,Partial,False,"['Configuration Management', 'Containers', 'Policy']",2
3,Protect,Partial,False,"['Configuration Management', 'Containers', 'Policy']",3
4,Protect,Partial,False,"['Configuration Management', 'Containers', 'Policy']",4
5,Protect,Significant,False,"['Configuration Management', 'Containers', 'Policy']",5
6,Protect,Partial,False,"['Configuration Management', 'Containers', 'Policy']",6
7,Protect,Partial,False,"['Configuration Management', 'Containers', 'Policy']",7
8,Protect,Partial,False,"['Configuration Management', 'Containers', 'Policy']",8
9,Protect,Partial,False,"['Configuration Management', 'Containers', 'Policy']",9
