,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,BeyondCorp Enterprise,['https://cloud.google.com/beyondcorp-enterprise/docs/overview'],0,,0,T1048,Exfiltration Over Alternative Protocol,,"['Access Control Policies', 'Data Loss Prevention']"
1,BeyondCorp Enterprise,['https://cloud.google.com/beyondcorp-enterprise/docs/overview'],1,,1,T1567,Exfiltration Over Web Service,,"['Access Control Policies', 'Data Loss Prevention']"
2,BeyondCorp Enterprise,['https://cloud.google.com/beyondcorp-enterprise/docs/overview'],2,,2,T1567.002,Exfiltration to Cloud Storage,,"['Access Control Policies', 'Data Loss Prevention']"
3,BeyondCorp Enterprise,['https://cloud.google.com/beyondcorp-enterprise/docs/overview'],3,,3,T1133,External Remote Services,,"['Access Control Policies', 'Data Loss Prevention']"
4,BeyondCorp Enterprise,['https://cloud.google.com/beyondcorp-enterprise/docs/overview'],4,,4,T1189,Drive-by Compromise,,"['Access Control Policies', 'Data Loss Prevention']"
5,BeyondCorp Enterprise,['https://cloud.google.com/beyondcorp-enterprise/docs/overview'],5,,5,T1566.001,Spearphishing Attachment,,"['Access Control Policies', 'Data Loss Prevention']"
6,BeyondCorp Enterprise,['https://cloud.google.com/beyondcorp-enterprise/docs/overview'],6,,6,T1566,Phishing,,"['Access Control Policies', 'Data Loss Prevention']"
7,BeyondCorp Enterprise,['https://cloud.google.com/beyondcorp-enterprise/docs/overview'],7,,7,T1566,Phishing,,"['Access Control Policies', 'Data Loss Prevention']"
8,BeyondCorp Enterprise,['https://cloud.google.com/beyondcorp-enterprise/docs/overview'],8,,8,T1071.001,Web Protocols,,"['Access Control Policies', 'Data Loss Prevention']"
9,BeyondCorp Enterprise,['https://cloud.google.com/beyondcorp-enterprise/docs/overview'],9,,9,T1530,Data from Cloud Storage Object,,"['Access Control Policies', 'Data Loss Prevention']"
