,score-category,score-value,related-score,tags,attack-object-key
0,Protect,Significant,False,"['Access Control Policies', 'Data Loss Prevention']",0
1,Protect,Significant,False,"['Access Control Policies', 'Data Loss Prevention']",1
2,Protect,Significant,False,"['Access Control Policies', 'Data Loss Prevention']",2
3,Protect,Partial,False,"['Access Control Policies', 'Data Loss Prevention']",3
4,Protect,Partial,False,"['Access Control Policies', 'Data Loss Prevention']",4
5,Detect,Minimal,False,"['Access Control Policies', 'Data Loss Prevention']",5
6,Protect,Significant,False,"['Access Control Policies', 'Data Loss Prevention']",6
7,Detect,Significant,False,"['Access Control Policies', 'Data Loss Prevention']",7
8,Detect,Significant,False,"['Access Control Policies', 'Data Loss Prevention']",8
9,Protect,Significant,False,"['Access Control Policies', 'Data Loss Prevention']",9
