,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",0,,0,T1021.002,SMB/Windows Admin Shares,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
1,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",1,,1,T1037,Boot or Logon Initialization Scripts,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
2,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",2,,2,T1053.005,Scheduled Task,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
3,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",3,,3,T1218.005,Mshta,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
4,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",4,,4,T1543.001,Launch Agent,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
5,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",5,,5,T1543.004,Launch Daemon,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
6,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",6,,6,T1546.001,Change Default File Association,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
7,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",7,,7,T1547.001,Registry Run Keys / Startup Folder,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
8,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",8,,8,T1547,Boot or Logon Autostart Execution,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
9,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",9,,9,T1546,Event Triggered Execution,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
10,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",10,,10,T1543,Create or Modify System Process,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
11,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",11,,11,T1548.002,Bypass User Account Control,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
12,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",12,,12,T1564.001,Hidden Files and Directories,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
13,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",13,,13,T1564,Hide Artifacts,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
14,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",14,,14,T1003.003,NTDS,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
15,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",15,,15,T1078,Valid Accounts,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
16,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",16,,16,T1134.005,SID-History Injection,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
17,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",17,,17,T1003,OS Credential Dumping,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
18,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",18,,18,T1548,Abuse Elevation Control Mechanism,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
19,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",19,,19,T1584.002,DNS Server,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
20,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",20,,20,T1562.004,Disable or Modify System Firewall,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
21,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",21,,21,T1098.001,Additional Cloud Credentials,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
22,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",22,,22,T1530,Data from Cloud Storage Object,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
23,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",23,,23,T1070.002,Clear Linux or Mac System Logs,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
24,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",24,,24,T1136.001,Local Account,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
25,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",25,,25,T1098,Account Manipulation,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
26,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",26,,26,T1106,Native API,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
27,Chronicle,"['https://cloud.google.com/chronicle/docs/overview', 'https://github.com/chronicle/detection-rules']",27,,27,T1021.004,SSH,,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']"
