,score-category,score-value,related-score,tags,attack-object-key
0,Detect,Minimal,False,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']",0
1,Detect,Minimal,False,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']",1
2,Detect,Minimal,False,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']",2
3,Detect,Minimal,False,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']",3
4,Detect,Minimal,False,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']",4
5,Detect,Minimal,False,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']",5
6,Detect,Minimal,False,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']",6
7,Detect,Minimal,False,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']",7
8,Detect,Minimal,False,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']",8
9,Detect,Minimal,False,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']",9
10,Detect,Minimal,False,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']",10
11,Detect,Minimal,False,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']",11
12,Detect,Minimal,False,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']",12
13,Detect,Minimal,False,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']",13
14,Detect,Minimal,False,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']",14
15,Detect,Minimal,False,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']",15
16,Detect,Minimal,False,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']",16
17,Detect,Minimal,False,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']",17
18,Detect,Minimal,False,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']",18
19,Detect,Minimal,False,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']",19
20,Detect,Minimal,False,"['SIEM', 'Chronicle', 'Threat Detection', 'Analytics']",20
