,mapping-version,attack-version,technology-domain,author,contact,creation-date,last-update,organization,mapping-platform,mapping-platform-version,key
0,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,0
1,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,1
2,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,2
3,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,3
4,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,4
5,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,5
6,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,6
7,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,7
8,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,8
9,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,9
10,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,10
11,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,11
12,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,12
13,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,13
14,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,14
15,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,15
16,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,16
17,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,17
18,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,18
19,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,19
20,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,20
21,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,21
22,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,22
23,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,23
24,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,24
25,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,25
26,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,26
27,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,27
28,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,28
29,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,29
30,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,30
31,1,10,enterprise,,ctid@mitre-engenuity.org,03/03/2022,,,GCP,,31
