,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Cloud IDS,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']",0,,0,T1137,Office Application Startup,,"['Cloud IDS', 'Intrusion Detection Service (IDS)', ""Palo Alto Network's Threat Signatures"", 'Analytics']"
1,Cloud IDS,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']",1,,1,T1546.006,LC_LOAD_DYLIB Addition,,"['Cloud IDS', 'Intrusion Detection Service (IDS)', ""Palo Alto Network's Threat Signatures"", 'Analytics']"
2,Cloud IDS,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']",2,,2,T1204.002,Malicious File,,"['Cloud IDS', 'Intrusion Detection Service (IDS)', ""Palo Alto Network's Threat Signatures"", 'Analytics']"
3,Cloud IDS,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']",3,,3,T1055.002,Portable Executable Injection,,"['Cloud IDS', 'Intrusion Detection Service (IDS)', ""Palo Alto Network's Threat Signatures"", 'Analytics']"
4,Cloud IDS,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']",4,,4,T1221,Template Injection,,"['Cloud IDS', 'Intrusion Detection Service (IDS)', ""Palo Alto Network's Threat Signatures"", 'Analytics']"
5,Cloud IDS,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']",5,,5,T1505.003,Web Shell,,"['Cloud IDS', 'Intrusion Detection Service (IDS)', ""Palo Alto Network's Threat Signatures"", 'Analytics']"
6,Cloud IDS,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']",6,,6,T1204.003,Malicious Image,,"['Cloud IDS', 'Intrusion Detection Service (IDS)', ""Palo Alto Network's Threat Signatures"", 'Analytics']"
7,Cloud IDS,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']",7,,7,T1048,Exfiltration Over Alternative Protocol,,"['Cloud IDS', 'Intrusion Detection Service (IDS)', ""Palo Alto Network's Threat Signatures"", 'Analytics']"
8,Cloud IDS,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']",8,,8,T1041,Exfiltration Over C2 Channel,,"['Cloud IDS', 'Intrusion Detection Service (IDS)', ""Palo Alto Network's Threat Signatures"", 'Analytics']"
9,Cloud IDS,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']",9,,9,T1567,Exfiltration Over Web Service,,"['Cloud IDS', 'Intrusion Detection Service (IDS)', ""Palo Alto Network's Threat Signatures"", 'Analytics']"
10,Cloud IDS,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']",10,,10,T1567.002,Exfiltration to Cloud Storage,,"['Cloud IDS', 'Intrusion Detection Service (IDS)', ""Palo Alto Network's Threat Signatures"", 'Analytics']"
11,Cloud IDS,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']",11,,11,T1020,Automated Exfiltration,,"['Cloud IDS', 'Intrusion Detection Service (IDS)', ""Palo Alto Network's Threat Signatures"", 'Analytics']"
12,Cloud IDS,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']",12,,12,T1110,Brute Force,,"['Cloud IDS', 'Intrusion Detection Service (IDS)', ""Palo Alto Network's Threat Signatures"", 'Analytics']"
13,Cloud IDS,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']",13,,13,T1499,Endpoint Denial of Service,,"['Cloud IDS', 'Intrusion Detection Service (IDS)', ""Palo Alto Network's Threat Signatures"", 'Analytics']"
14,Cloud IDS,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']",14,,14,T1499.003,Application Exhaustion Flood,,"['Cloud IDS', 'Intrusion Detection Service (IDS)', ""Palo Alto Network's Threat Signatures"", 'Analytics']"
15,Cloud IDS,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']",15,,15,T1190,Exploit Public-Facing Application,,"['Cloud IDS', 'Intrusion Detection Service (IDS)', ""Palo Alto Network's Threat Signatures"", 'Analytics']"
16,Cloud IDS,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']",16,,16,T1566.002,Spearphishing Link,,"['Cloud IDS', 'Intrusion Detection Service (IDS)', ""Palo Alto Network's Threat Signatures"", 'Analytics']"
17,Cloud IDS,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']",17,,17,T1137.006,Add-ins,,"['Cloud IDS', 'Intrusion Detection Service (IDS)', ""Palo Alto Network's Threat Signatures"", 'Analytics']"
18,Cloud IDS,"['https://cloud.google.com/intrusion-detection-system', 'https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-admin/threat-prevention/threat-signatures']",18,,18,T1137.001,Office Template Macros,,"['Cloud IDS', 'Intrusion Detection Service (IDS)', ""Palo Alto Network's Threat Signatures"", 'Analytics']"
