,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Cloud Identity,['https://cloud.google.com/identity'],0,,0,T1110,Brute Force,,"['Identity', 'Multi-Factor Authentication', 'Credentials']"
1,Cloud Identity,['https://cloud.google.com/identity'],1,,1,T1110.003,Password Spraying,,"['Identity', 'Multi-Factor Authentication', 'Credentials']"
2,Cloud Identity,['https://cloud.google.com/identity'],2,,2,T1078,Valid Accounts,,"['Identity', 'Multi-Factor Authentication', 'Credentials']"
3,Cloud Identity,['https://cloud.google.com/identity'],3,,3,T1078.004,Cloud Accounts,,"['Identity', 'Multi-Factor Authentication', 'Credentials']"
4,Cloud Identity,['https://cloud.google.com/identity'],4,,4,T1110.001,Password Guessing,,"['Identity', 'Multi-Factor Authentication', 'Credentials']"
5,Cloud Identity,['https://cloud.google.com/identity'],5,,5,T1110.002,Password Cracking,,"['Identity', 'Multi-Factor Authentication', 'Credentials']"
6,Cloud Identity,['https://cloud.google.com/identity'],6,,6,T1110.004,Credential Stuffing,,"['Identity', 'Multi-Factor Authentication', 'Credentials']"
7,Cloud Identity,['https://cloud.google.com/identity'],7,,7,T1078.002,Domain Accounts,,"['Identity', 'Multi-Factor Authentication', 'Credentials']"
8,Cloud Identity,['https://cloud.google.com/identity'],8,,8,T1021.004,SSH,,"['Identity', 'Multi-Factor Authentication', 'Credentials']"
9,Cloud Identity,['https://cloud.google.com/identity'],9,,9,T1213.003,Code Repositories,,"['Identity', 'Multi-Factor Authentication', 'Credentials']"
10,Cloud Identity,['https://cloud.google.com/identity'],10,,10,T1213,Data from Information Repositories,,"['Identity', 'Multi-Factor Authentication', 'Credentials']"
11,Cloud Identity,['https://cloud.google.com/identity'],11,,11,T1133,External Remote Services,,"['Identity', 'Multi-Factor Authentication', 'Credentials']"
