,score-category,score-value,related-score,tags,attack-object-key
0,Protect,Significant,False,"['Identity', 'Multi-Factor Authentication', 'Credentials']",0
1,Protect,Significant,False,"['Identity', 'Multi-Factor Authentication', 'Credentials']",1
2,Protect,Partial,False,"['Identity', 'Multi-Factor Authentication', 'Credentials']",2
3,Protect,Partial,False,"['Identity', 'Multi-Factor Authentication', 'Credentials']",3
4,Protect,Significant,False,"['Identity', 'Multi-Factor Authentication', 'Credentials']",4
5,Protect,Significant,False,"['Identity', 'Multi-Factor Authentication', 'Credentials']",5
6,Protect,Significant,False,"['Identity', 'Multi-Factor Authentication', 'Credentials']",6
7,Protect,Partial,False,"['Identity', 'Multi-Factor Authentication', 'Credentials']",7
8,Detect,Minimal,False,"['Identity', 'Multi-Factor Authentication', 'Credentials']",8
9,Protect,Partial,False,"['Identity', 'Multi-Factor Authentication', 'Credentials']",9
10,Protect,Partial,False,"['Identity', 'Multi-Factor Authentication', 'Credentials']",10
11,Protect,Minimal,False,"['Identity', 'Multi-Factor Authentication', 'Credentials']",11
