,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Cloud Key Management,['https://cloud.google.com/security-key-management'],0,,0,T1552,Unsecured Credentials,,['Credentials']
1,Cloud Key Management,['https://cloud.google.com/security-key-management'],1,,1,T1552.005,Cloud Instance Metadata API,,['Credentials']
2,Cloud Key Management,['https://cloud.google.com/security-key-management'],2,,2,T1588,Obtain Capabilities,,['Credentials']
3,Cloud Key Management,['https://cloud.google.com/security-key-management'],3,,3,T1553,Subvert Trust Controls,,['Credentials']
4,Cloud Key Management,['https://cloud.google.com/security-key-management'],4,,4,T1555,Credentials from Password Stores,,['Credentials']
5,Cloud Key Management,['https://cloud.google.com/security-key-management'],5,,5,T1528,Steal Application Access Token,,['Credentials']
6,Cloud Key Management,['https://cloud.google.com/security-key-management'],6,,6,T1588.003,Code Signing Certificates,,['Credentials']
7,Cloud Key Management,['https://cloud.google.com/security-key-management'],7,,7,T1588.004,Digital Certificates,,['Credentials']
8,Cloud Key Management,['https://cloud.google.com/security-key-management'],8,,8,T1552.001,Credentials In Files,,['Credentials']
9,Cloud Key Management,['https://cloud.google.com/security-key-management'],9,,9,T1552.004,Private Keys,,['Credentials']
