,mapping-version,attack-version,technology-domain,author,contact,creation-date,last-update,organization,mapping-platform,mapping-platform-version,key
0,1,10,enterprise,,ctid@mitre-engenuity.org,02/25/2022,,,GCP,,0
1,1,10,enterprise,,ctid@mitre-engenuity.org,02/25/2022,,,GCP,,1
2,1,10,enterprise,,ctid@mitre-engenuity.org,02/25/2022,,,GCP,,2
3,1,10,enterprise,,ctid@mitre-engenuity.org,02/25/2022,,,GCP,,3
4,1,10,enterprise,,ctid@mitre-engenuity.org,02/25/2022,,,GCP,,4
5,1,10,enterprise,,ctid@mitre-engenuity.org,02/25/2022,,,GCP,,5
6,1,10,enterprise,,ctid@mitre-engenuity.org,02/25/2022,,,GCP,,6
7,1,10,enterprise,,ctid@mitre-engenuity.org,02/25/2022,,,GCP,,7
8,1,10,enterprise,,ctid@mitre-engenuity.org,02/25/2022,,,GCP,,8
9,1,10,enterprise,,ctid@mitre-engenuity.org,02/25/2022,,,GCP,,9
