,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Firewalls,['https://cloud.google.com/firewalls'],0,,0,T1008,Fallback Channels,,"['Firewall', 'Logging', 'Network']"
1,Firewalls,['https://cloud.google.com/firewalls'],1,,1,T1018,Remote System Discovery,,"['Firewall', 'Logging', 'Network']"
2,Firewalls,['https://cloud.google.com/firewalls'],2,,2,T1021,Remote Services,,"['Firewall', 'Logging', 'Network']"
3,Firewalls,['https://cloud.google.com/firewalls'],3,,3,T1041,Exfiltration Over C2 Channel,,"['Firewall', 'Logging', 'Network']"
4,Firewalls,['https://cloud.google.com/firewalls'],4,,4,T1046,Network Service Scanning,,"['Firewall', 'Logging', 'Network']"
5,Firewalls,['https://cloud.google.com/firewalls'],5,,5,T1048,Exfiltration Over Alternative Protocol,,"['Firewall', 'Logging', 'Network']"
6,Firewalls,['https://cloud.google.com/firewalls'],6,,6,T1071,Application Layer Protocol,,"['Firewall', 'Logging', 'Network']"
7,Firewalls,['https://cloud.google.com/firewalls'],7,,7,T1090,Proxy,,"['Firewall', 'Logging', 'Network']"
8,Firewalls,['https://cloud.google.com/firewalls'],8,,8,T1095,Non-Application Layer Protocol,,"['Firewall', 'Logging', 'Network']"
9,Firewalls,['https://cloud.google.com/firewalls'],9,,9,T1104,Multi-Stage Channels,,"['Firewall', 'Logging', 'Network']"
10,Firewalls,['https://cloud.google.com/firewalls'],10,,10,T1133,External Remote Services,,"['Firewall', 'Logging', 'Network']"
11,Firewalls,['https://cloud.google.com/firewalls'],11,,11,T1187,Forced Authentication,,"['Firewall', 'Logging', 'Network']"
12,Firewalls,['https://cloud.google.com/firewalls'],12,,12,T1205,Traffic Signaling,,"['Firewall', 'Logging', 'Network']"
13,Firewalls,['https://cloud.google.com/firewalls'],13,,13,T1219,Remote Access Software,,"['Firewall', 'Logging', 'Network']"
14,Firewalls,['https://cloud.google.com/firewalls'],14,,14,T1498,Network Denial of Service,,"['Firewall', 'Logging', 'Network']"
15,Firewalls,['https://cloud.google.com/firewalls'],15,,15,T1499,Endpoint Denial of Service,,"['Firewall', 'Logging', 'Network']"
16,Firewalls,['https://cloud.google.com/firewalls'],16,,16,T1530,Data from Cloud Storage Object,,"['Firewall', 'Logging', 'Network']"
17,Firewalls,['https://cloud.google.com/firewalls'],17,,17,T1542,Pre-OS Boot,,"['Firewall', 'Logging', 'Network']"
18,Firewalls,['https://cloud.google.com/firewalls'],18,,18,T1571,Non-Standard Port,,"['Firewall', 'Logging', 'Network']"
19,Firewalls,['https://cloud.google.com/firewalls'],19,,19,T1572,Protocol Tunneling,,"['Firewall', 'Logging', 'Network']"
20,Firewalls,['https://cloud.google.com/firewalls'],20,,20,T1590,Gather Victim Network Information,,"['Firewall', 'Logging', 'Network']"
21,Firewalls,['https://cloud.google.com/firewalls'],21,,21,T1595,Active Scanning,,"['Firewall', 'Logging', 'Network']"
