,score-category,score-value,related-score,tags,attack-object-key
0,Protect,Partial,False,"['Firewall', 'Logging', 'Network']",0
1,Protect,Partial,False,"['Firewall', 'Logging', 'Network']",1
2,Protect,Partial,False,"['Firewall', 'Logging', 'Network']",2
3,Protect,Partial,False,"['Firewall', 'Logging', 'Network']",3
4,Protect,Partial,False,"['Firewall', 'Logging', 'Network']",4
5,Protect,Partial,False,"['Firewall', 'Logging', 'Network']",5
6,Protect,Significant,False,"['Firewall', 'Logging', 'Network']",6
7,Protect,Partial,False,"['Firewall', 'Logging', 'Network']",7
8,Protect,Significant,False,"['Firewall', 'Logging', 'Network']",8
9,Protect,Partial,False,"['Firewall', 'Logging', 'Network']",9
10,Protect,Partial,False,"['Firewall', 'Logging', 'Network']",10
11,Protect,Significant,False,"['Firewall', 'Logging', 'Network']",11
12,Protect,Partial,False,"['Firewall', 'Logging', 'Network']",12
13,Protect,Partial,False,"['Firewall', 'Logging', 'Network']",13
14,Protect,Minimal,False,"['Firewall', 'Logging', 'Network']",14
15,Protect,Partial,False,"['Firewall', 'Logging', 'Network']",15
16,Protect,Partial,False,"['Firewall', 'Logging', 'Network']",16
17,Protect,Minimal,False,"['Firewall', 'Logging', 'Network']",17
18,Protect,Significant,False,"['Firewall', 'Logging', 'Network']",18
19,Protect,Partial,False,"['Firewall', 'Logging', 'Network']",19
20,Protect,Partial,False,"['Firewall', 'Logging', 'Network']",20
21,Protect,Partial,False,"['Firewall', 'Logging', 'Network']",21
