,mapping-target,references,tags,metadata-key,mapping-description,name,id,key,comments
0,Virus Total,"['https://cloud.google.com/architecture/automating-malware-scanning-for-documents-uploaded-to-cloud-storage', 'https://cloud.google.com/chronicle/docs/investigation/view-virustotal-information', 'https://assets.virustotal.com/vt-360-outcomes.pdf']","['Antivirus', 'Antimalware', 'Malware']",0,,Phishing,T1566,0,"This mapping was scored as significant due to the control’s high threat protection coverage to specific ATT&CK (sub-)techniques and temporal factors (e.g., real-time)."
1,Virus Total,"['https://cloud.google.com/architecture/automating-malware-scanning-for-documents-uploaded-to-cloud-storage', 'https://cloud.google.com/chronicle/docs/investigation/view-virustotal-information', 'https://assets.virustotal.com/vt-360-outcomes.pdf']","['Antivirus', 'Antimalware', 'Malware']",1,,Spearphishing Attachment,T1566.001,1,"This mapping was scored as significant due to the control’s high threat protection coverage to specific ATT&CK (sub-)techniques and temporal factors (e.g., real-time)."
2,Virus Total,"['https://cloud.google.com/architecture/automating-malware-scanning-for-documents-uploaded-to-cloud-storage', 'https://cloud.google.com/chronicle/docs/investigation/view-virustotal-information', 'https://assets.virustotal.com/vt-360-outcomes.pdf']","['Antivirus', 'Antimalware', 'Malware']",2,,Command and Scripting Interpreter,T1059,2,"This mapping was scored as significant due to the control’s high threat protection coverage to specific ATT&CK (sub-)techniques and temporal factors (e.g., real-time)."
3,Virus Total,"['https://cloud.google.com/architecture/automating-malware-scanning-for-documents-uploaded-to-cloud-storage', 'https://cloud.google.com/chronicle/docs/investigation/view-virustotal-information', 'https://assets.virustotal.com/vt-360-outcomes.pdf']","['Antivirus', 'Antimalware', 'Malware']",3,,Spearphishing Link,T1598.003,3,"This mapping was scored as significant due to the control’s high threat protection coverage to specific ATT&CK (sub-)techniques and temporal factors (e.g., real-time)."
4,Virus Total,"['https://cloud.google.com/architecture/automating-malware-scanning-for-documents-uploaded-to-cloud-storage', 'https://cloud.google.com/chronicle/docs/investigation/view-virustotal-information', 'https://assets.virustotal.com/vt-360-outcomes.pdf']","['Antivirus', 'Antimalware', 'Malware']",4,,Spearphishing Link,T1566.002,4,"This mapping was scored as significant due to the control’s high threat protection coverage to specific ATT&CK (sub-)techniques and temporal factors (e.g., real-time)."
5,Confidential VM and Compute Engine,['https://cloud.google.com/compute/confidential-vm/docs/about-cvm#security_and_privacy_features'],['Encryption'],5,,Runtime Data Manipulation,T1565.003,5,
6,Cloud Hardware Security Module (HSM),['https://cloud.google.com/kms/docs/hsm'],"['Encryption', 'Data Security']",6,,Unsecured Credentials,T1552,6,This control provides a secure alternative to storing encryption keys in the file system.
7,Cloud Hardware Security Module (HSM),['https://cloud.google.com/kms/docs/hsm'],"['Encryption', 'Data Security']",7,,Subvert Trust Controls,T1553,7,This control provides a secure alternative to storing encryption keys in the file system.
8,Cloud Hardware Security Module (HSM),['https://cloud.google.com/kms/docs/hsm'],"['Encryption', 'Data Security']",8,,Code Signing Certificates,T1588.003,8,This control provides a secure alternative to storing encryption keys in the file system.
9,Cloud Hardware Security Module (HSM),['https://cloud.google.com/kms/docs/hsm'],"['Encryption', 'Data Security']",9,,Digital Certificates,T1588.004,9,This control provides a secure alternative to storing encryption keys in the file system.
10,Cloud Hardware Security Module (HSM),['https://cloud.google.com/kms/docs/hsm'],"['Encryption', 'Data Security']",10,,Private Keys,T1552.004,10,This control provides a secure alternative to storing encryption keys in the file system.
11,Cloud Hardware Security Module (HSM),['https://cloud.google.com/kms/docs/hsm'],"['Encryption', 'Data Security']",11,,Credentials In Files,T1552.001,11,This control provides a secure alternative to storing encryption keys in the file system.
12,Cloud Hardware Security Module (HSM),['https://cloud.google.com/kms/docs/hsm'],"['Encryption', 'Data Security']",12,,Obtain Capabilities,T1588,12,This control provides a secure alternative to storing encryption keys in the file system.
13,Certificate Authority Service,['https://cloud.google.com/certificate-authority-service/docs'],"['Certificate Service', 'Network']",13,,Network Sniffing,T1040,13,
14,Cloud Asset Inventory,['https://cloud.google.com/asset-inventory/docs/overview'],"['Credentials', 'Access Management']",14,,Account Manipulation,T1098,14,
15,Cloud Asset Inventory,['https://cloud.google.com/asset-inventory/docs/overview'],"['Credentials', 'Access Management']",15,,Additional Cloud Credentials,T1098.001,15,
16,Cloud Asset Inventory,['https://cloud.google.com/asset-inventory/docs/overview'],"['Credentials', 'Access Management']",16,,Valid Accounts,T1078,16,
17,Cloud Asset Inventory,['https://cloud.google.com/asset-inventory/docs/overview'],"['Credentials', 'Access Management']",17,,Cloud Accounts,T1078.004,17,
18,Identity Aware Proxy,['https://cloud.google.com/iap'],"['Identity', 'Credentials']",18,,Application Access Token,T1550.001,18,This mapping was scored as Partial due the control's low to medium threat protection fidelity from specific (sub-)techniques found in MITRE’s ATT&CK framework.
19,Identity Aware Proxy,['https://cloud.google.com/iap'],"['Identity', 'Credentials']",19,,Steal Application Access Token,T1528,19,This mapping was scored as Partial due the control's low to medium threat protection fidelity from specific (sub-)techniques found in MITRE’s ATT&CK framework.
20,Identity Aware Proxy,['https://cloud.google.com/iap'],"['Identity', 'Credentials']",20,,Steal Application Access Token,T1528,20,This mapping was scored as Partial due the control's low to medium threat protection fidelity from specific (sub-)techniques found in MITRE’s ATT&CK framework.
21,Identity Aware Proxy,['https://cloud.google.com/iap'],"['Identity', 'Credentials']",21,,Additional Cloud Credentials,T1098.001,21,This mapping was scored as Partial due the control's low to medium threat protection fidelity from specific (sub-)techniques found in MITRE’s ATT&CK framework.
22,Identity Aware Proxy,['https://cloud.google.com/iap'],"['Identity', 'Credentials']",22,,Valid Accounts,T1078,22,This mapping was scored as Partial due the control's low to medium threat protection fidelity from specific (sub-)techniques found in MITRE’s ATT&CK framework.
23,Identity Aware Proxy,['https://cloud.google.com/iap'],"['Identity', 'Credentials']",23,,Cloud Accounts,T1078.004,23,This mapping was scored as Partial due the control's low to medium threat protection fidelity from specific (sub-)techniques found in MITRE’s ATT&CK framework.
24,Identity Aware Proxy,['https://cloud.google.com/iap'],"['Identity', 'Credentials']",24,,Exploit Public-Facing Application,T1190,24,This mapping was scored as Partial due the control's low to medium threat protection fidelity from specific (sub-)techniques found in MITRE’s ATT&CK framework.
25,Artifact Registry,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","['Containers', 'Vulnerability Analysis', 'OS Security']",25,,Exploit Public-Facing Application,T1190,25,This control may provide information about software vulnerabilities in the environment. 
26,Artifact Registry,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","['Containers', 'Vulnerability Analysis', 'OS Security']",26,,Exploitation for Privilege Escalation,T1068,26,This control may provide information about software vulnerabilities in the environment. 
27,Artifact Registry,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","['Containers', 'Vulnerability Analysis', 'OS Security']",27,,Exploitation for Client Execution,T1203,27,This control may provide information about software vulnerabilities in the environment. 
28,Artifact Registry,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","['Containers', 'Vulnerability Analysis', 'OS Security']",28,,Exploitation of Remote Services,T1210,28,This control may provide information about software vulnerabilities in the environment. 
29,Artifact Registry,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","['Containers', 'Vulnerability Analysis', 'OS Security']",29,,Implant Internal Image,T1525,29,This control may provide information about software vulnerabilities in the environment. 
30,Artifact Registry,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","['Containers', 'Vulnerability Analysis', 'OS Security']",30,,Deploy Container,T1610,30,This control may provide information about software vulnerabilities in the environment. 
31,Artifact Registry,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","['Containers', 'Vulnerability Analysis', 'OS Security']",31,,Software Deployment Tools,T1072,31,This control may provide information about software vulnerabilities in the environment. 
32,Artifact Registry,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","['Containers', 'Vulnerability Analysis', 'OS Security']",32,,Exploitation for Defense Evasion,T1211,32,This control may provide information about software vulnerabilities in the environment. 
33,Artifact Registry,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","['Containers', 'Vulnerability Analysis', 'OS Security']",33,,Exploitation for Credential Access,T1212,33,This control may provide information about software vulnerabilities in the environment. 
34,Google Kubernetes Engine,"['https://cloud.google.com/kubernetes-engine/docs/concepts/access-control', 'https://cloud.google.com/kubernetes-engine/docs/concepts/cis-benchmarks#how_to_audit_benchmarks']","['Kubernetes', 'Containers']",34,,Container and Resource Discovery,T1613,34,This control provides information about security best practices and policies to apply when deploying Google Kubernetes Engine.
35,Google Kubernetes Engine,"['https://cloud.google.com/kubernetes-engine/docs/concepts/access-control', 'https://cloud.google.com/kubernetes-engine/docs/concepts/cis-benchmarks#how_to_audit_benchmarks']","['Kubernetes', 'Containers']",35,,Escape to Host,T1611,35,This control provides information about security best practices and policies to apply when deploying Google Kubernetes Engine.
36,Google Kubernetes Engine,"['https://cloud.google.com/kubernetes-engine/docs/concepts/access-control', 'https://cloud.google.com/kubernetes-engine/docs/concepts/cis-benchmarks#how_to_audit_benchmarks']","['Kubernetes', 'Containers']",36,,Escape to Host,T1611,36,This control provides information about security best practices and policies to apply when deploying Google Kubernetes Engine.
37,Google Kubernetes Engine,"['https://cloud.google.com/kubernetes-engine/docs/concepts/access-control', 'https://cloud.google.com/kubernetes-engine/docs/concepts/cis-benchmarks#how_to_audit_benchmarks']","['Kubernetes', 'Containers']",37,,Deploy Container,T1610,37,This control provides information about security best practices and policies to apply when deploying Google Kubernetes Engine.
