,score-category,score-value,related-score,tags,attack-object-key
0,Protect,Significant,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",0
1,Protect,Significant,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",1
2,Protect,Significant,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",2
3,Protect,Significant,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",3
4,Protect,Significant,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",4
5,Protect,Partial,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",5
6,Protect,Partial,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",6
7,Protect,Partial,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",7
8,Protect,Significant,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",8
9,Protect,Significant,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",9
10,Protect,Significant,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",10
11,Protect,Partial,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",11
12,Protect,Partial,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",12
13,Protect,Partial,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",13
14,Protect,Minimal,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",14
15,Protect,Minimal,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",15
16,Protect,Minimal,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",16
17,Protect,Minimal,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",17
18,Protect,Minimal,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",18
19,Protect,Minimal,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",19
20,Protect,Partial,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",20
21,Protect,Significant,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",21
22,Protect,Significant,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",22
23,Protect,Significant,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",23
24,Protect,Significant,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",24
25,Protect,Significant,False,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']",25
