,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Policy Intelligence,['https://cloud.google.com/policy-intelligence'],0,,0,T1087.004,Cloud Account,,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']"
1,Policy Intelligence,['https://cloud.google.com/policy-intelligence'],1,,1,T1580,Cloud Infrastructure Discovery,,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']"
2,Policy Intelligence,['https://cloud.google.com/policy-intelligence'],2,,2,T1530,Data from Cloud Storage Object,,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']"
3,Policy Intelligence,['https://cloud.google.com/policy-intelligence'],3,,3,T1530,Data from Cloud Storage Object,,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']"
4,Policy Intelligence,['https://cloud.google.com/policy-intelligence'],4,,4,T1538,Cloud Service Dashboard,,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']"
5,Policy Intelligence,['https://cloud.google.com/policy-intelligence'],5,,5,T1578,Modify Cloud Compute Infrastructure,,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']"
6,Policy Intelligence,['https://cloud.google.com/policy-intelligence'],6,,6,T1548.002,Bypass User Account Control,,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']"
7,Policy Intelligence,['https://cloud.google.com/policy-intelligence'],7,,7,T1068,Exploitation for Privilege Escalation,,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']"
8,Policy Intelligence,['https://cloud.google.com/policy-intelligence'],8,,8,T1562,Impair Defenses,,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']"
9,Policy Intelligence,['https://cloud.google.com/policy-intelligence'],9,,9,T1078.004,Cloud Accounts,,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']"
10,Policy Intelligence,['https://cloud.google.com/policy-intelligence'],10,,10,T1078.004,Cloud Accounts,,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']"
11,Policy Intelligence,['https://cloud.google.com/policy-intelligence'],11,,11,T1562.008,Disable Cloud Logs,,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']"
12,Policy Intelligence,['https://cloud.google.com/policy-intelligence'],12,,12,T1212,Exploitation for Credential Access,,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']"
13,Policy Intelligence,['https://cloud.google.com/policy-intelligence'],13,,13,T1078,Valid Accounts,,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']"
14,Policy Intelligence,['https://cloud.google.com/policy-intelligence'],14,,14,T1087,Account Discovery,,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']"
15,Policy Intelligence,['https://cloud.google.com/policy-intelligence'],15,,15,T1098.001,Additional Cloud Credentials,,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']"
16,Policy Intelligence,['https://cloud.google.com/policy-intelligence'],16,,16,T1098,Account Manipulation,,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']"
17,Policy Intelligence,['https://cloud.google.com/policy-intelligence'],17,,17,T1222,File and Directory Permissions Modification,,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']"
