,score-category,score-value,related-score,tags,attack-object-key
0,Protect,Partial,False,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']",0
1,Protect,Minimal,False,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']",1
2,Protect,Partial,False,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']",2
3,Detect,Minimal,False,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']",3
4,Protect,Partial,False,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']",4
5,Protect,Partial,False,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']",5
6,Protect,Partial,False,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']",6
7,Protect,Partial,False,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']",7
8,Protect,Partial,False,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']",8
9,Protect,Partial,False,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']",9
10,Detect,Minimal,False,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']",10
11,Detect,Minimal,False,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']",11
12,Protect,Partial,False,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']",12
13,Protect,Partial,False,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']",13
14,Protect,Partial,False,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']",14
15,Protect,Partial,False,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']",15
16,Protect,Partial,False,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']",16
17,Protect,Partial,False,"['Identity', 'Role Based Access Control', 'Access Management', 'Credentials']",17
