,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,ResourceManager,['https://cloud.google.com/resource-manager/docs/cloud-platform-resource-hierarchy'],0,,0,T1580,Cloud Infrastructure Discovery,,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']"
1,ResourceManager,['https://cloud.google.com/resource-manager/docs/cloud-platform-resource-hierarchy'],1,,1,T1580,Cloud Infrastructure Discovery,,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']"
2,ResourceManager,['https://cloud.google.com/resource-manager/docs/cloud-platform-resource-hierarchy'],2,,2,T1562,Impair Defenses,,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']"
3,ResourceManager,['https://cloud.google.com/resource-manager/docs/cloud-platform-resource-hierarchy'],3,,3,T1562.007,Disable or Modify Cloud Firewall,,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']"
4,ResourceManager,['https://cloud.google.com/resource-manager/docs/cloud-platform-resource-hierarchy'],4,,4,T1562.007,Disable or Modify Cloud Firewall,,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']"
5,ResourceManager,['https://cloud.google.com/resource-manager/docs/cloud-platform-resource-hierarchy'],5,,5,T1562.008,Disable Cloud Logs,,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']"
6,ResourceManager,['https://cloud.google.com/resource-manager/docs/cloud-platform-resource-hierarchy'],6,,6,T1087,Account Discovery,,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']"
7,ResourceManager,['https://cloud.google.com/resource-manager/docs/cloud-platform-resource-hierarchy'],7,,7,T1087.004,Cloud Account,,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']"
8,ResourceManager,['https://cloud.google.com/resource-manager/docs/cloud-platform-resource-hierarchy'],8,,8,T1087.004,Cloud Account,,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']"
9,ResourceManager,['https://cloud.google.com/resource-manager/docs/cloud-platform-resource-hierarchy'],9,,9,T1613,Container and Resource Discovery,,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']"
10,ResourceManager,['https://cloud.google.com/resource-manager/docs/cloud-platform-resource-hierarchy'],10,,10,T1552.007,Container API,,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']"
11,ResourceManager,['https://cloud.google.com/resource-manager/docs/cloud-platform-resource-hierarchy'],11,,11,T1098,Account Manipulation,,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']"
12,ResourceManager,['https://cloud.google.com/resource-manager/docs/cloud-platform-resource-hierarchy'],12,,12,T1098.001,Additional Cloud Credentials,,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']"
13,ResourceManager,['https://cloud.google.com/resource-manager/docs/cloud-platform-resource-hierarchy'],13,,13,T1078,Valid Accounts,,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']"
14,ResourceManager,['https://cloud.google.com/resource-manager/docs/cloud-platform-resource-hierarchy'],14,,14,T1078.004,Cloud Accounts,,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']"
15,ResourceManager,['https://cloud.google.com/resource-manager/docs/cloud-platform-resource-hierarchy'],15,,15,T1562.001,Disable or Modify Tools,,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']"
16,ResourceManager,['https://cloud.google.com/resource-manager/docs/cloud-platform-resource-hierarchy'],16,,16,T1562.002,Disable Windows Event Logging,,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']"
