,score-category,score-value,related-score,tags,attack-object-key
0,Protect,Significant,False,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']",0
1,Detect,Minimal,False,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']",1
2,Protect,Partial,False,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']",2
3,Protect,Partial,False,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']",3
4,Detect,Partial,False,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']",4
5,Protect,Partial,False,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']",5
6,Detect,Minimal,False,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']",6
7,Protect,Minimal,False,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']",7
8,Detect,Minimal,False,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']",8
9,Protect,Partial,False,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']",9
10,Protect,Minimal,False,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']",10
11,Protect,Minimal,False,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']",11
12,Protect,Minimal,False,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']",12
13,Protect,Minimal,False,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']",13
14,Protect,Minimal,False,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']",14
15,Protect,Partial,False,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']",15
16,Protect,Partial,False,"['Identity', 'Access Management', 'Credentials', 'Network', 'Configuration Management']",16
