,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",0,,0,T1204.003,Malicious Image,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
1,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",1,,1,T1525,Implant Internal Image,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
2,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",2,,2,T1133,External Remote Services,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
3,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",3,,3,T1505.003,Web Shell,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
4,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",4,,4,T1105,Ingress Tool Transfer,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
5,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",5,,5,T1059.004,Unix Shell,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
6,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",6,,6,T1071.004,DNS,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
7,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",7,,7,T1110,Brute Force,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
8,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",8,,8,T1078.004,Cloud Accounts,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
9,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",9,,9,T1562,Impair Defenses,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
10,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",10,,10,T1567,Exfiltration Over Web Service,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
11,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",11,,11,T1567.002,Exfiltration to Cloud Storage,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
12,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",12,,12,T1505.001,SQL Stored Procedures,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
13,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",13,,13,T1098.001,Additional Cloud Credentials,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
14,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",14,,14,T1562.007,Disable or Modify Cloud Firewall,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
15,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",15,,15,T1589.001,Credentials,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
16,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",16,,16,T1496,Resource Hijacking,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
17,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",17,,17,T1213.003,Code Repositories,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
18,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",18,,18,T1040,Network Sniffing,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
19,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",19,,19,T1190,Exploit Public-Facing Application,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
20,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",20,,20,T1078.001,Default Accounts,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
21,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",21,,21,T1542,Pre-OS Boot,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
22,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",22,,22,T1542.003,Bootkit,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
23,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",23,,23,T1014,Rootkit,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
24,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",24,,24,T1070,Indicator Removal on Host,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
25,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",25,,25,T1484,Domain Policy Modification,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
26,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",26,,26,T1136.003,Cloud Account,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
27,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",27,,27,T1562.008,Disable Cloud Logs,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
28,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",28,,28,T1578,Modify Cloud Compute Infrastructure,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
29,Security Command Center,"['https://cloud.google.com/security-command-center/docs/concepts-security-command-center-overview', 'https://github.com/GoogleCloudPlatform/security-analytics']",29,,29,T1530,Data from Cloud Storage Object,,"['Analytics', 'Security Command Center', 'Vulnerability Management']"
