,score-category,score-value,related-score,tags,attack-object-key
0,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",0
1,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",1
2,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",2
3,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",3
4,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",4
5,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",5
6,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",6
7,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",7
8,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",8
9,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",9
10,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",10
11,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",11
12,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",12
13,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",13
14,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",14
15,Protect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",15
16,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",16
17,Protect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",17
18,Protect,Minimal,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",18
19,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",19
20,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",20
21,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",21
22,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",22
23,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",23
24,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",24
25,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",25
26,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",26
27,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",27
28,Detect,Significant,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",28
29,Detect,Partial,False,"['Analytics', 'Security Command Center', 'Vulnerability Management']",29
