,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Virtual Private Cloud,['https://cloud.google.com/vpc-service-controls/docs'],0,,0,T1590,Gather Victim Network Information,,"['Network', 'Virtual Private Cloud']"
1,Virtual Private Cloud,['https://cloud.google.com/vpc-service-controls/docs'],1,,1,T1590.004,Network Topology,,"['Network', 'Virtual Private Cloud']"
2,Virtual Private Cloud,['https://cloud.google.com/vpc-service-controls/docs'],2,,2,T1590.005,IP Addresses,,"['Network', 'Virtual Private Cloud']"
3,Virtual Private Cloud,['https://cloud.google.com/vpc-service-controls/docs'],3,,3,T1046,Network Service Scanning,,"['Network', 'Virtual Private Cloud']"
4,Virtual Private Cloud,['https://cloud.google.com/vpc-service-controls/docs'],4,,4,T1135,Network Share Discovery,,"['Network', 'Virtual Private Cloud']"
5,Virtual Private Cloud,['https://cloud.google.com/vpc-service-controls/docs'],5,,5,T1595,Active Scanning,,"['Network', 'Virtual Private Cloud']"
6,Virtual Private Cloud,['https://cloud.google.com/vpc-service-controls/docs'],6,,6,T1595.001,Scanning IP Blocks,,"['Network', 'Virtual Private Cloud']"
7,Virtual Private Cloud,['https://cloud.google.com/vpc-service-controls/docs'],7,,7,T1098,Account Manipulation,,"['Network', 'Virtual Private Cloud']"
8,Virtual Private Cloud,['https://cloud.google.com/vpc-service-controls/docs'],8,,8,T1098.001,Additional Cloud Credentials,,"['Network', 'Virtual Private Cloud']"
9,Virtual Private Cloud,['https://cloud.google.com/vpc-service-controls/docs'],9,,9,T1557,Adversary-in-the-Middle,,"['Network', 'Virtual Private Cloud']"
10,Virtual Private Cloud,['https://cloud.google.com/vpc-service-controls/docs'],10,,10,T1602,Data from Configuration Repository,,"['Network', 'Virtual Private Cloud']"
11,Virtual Private Cloud,['https://cloud.google.com/vpc-service-controls/docs'],11,,11,T1190,Exploit Public-Facing Application,,"['Network', 'Virtual Private Cloud']"
12,Virtual Private Cloud,['https://cloud.google.com/vpc-service-controls/docs'],12,,12,T1552.007,Container API,,"['Network', 'Virtual Private Cloud']"
13,Virtual Private Cloud,['https://cloud.google.com/vpc-service-controls/docs'],13,,13,T1018,Remote System Discovery,,"['Network', 'Virtual Private Cloud']"
14,Virtual Private Cloud,['https://cloud.google.com/vpc-service-controls/docs'],14,,14,T1570,Lateral Tool Transfer,,"['Network', 'Virtual Private Cloud']"
