,score-category,score-value,related-score,tags,attack-object-key
0,Protect,Significant,False,"['Network', 'Virtual Private Cloud']",0
1,Protect,Significant,False,"['Network', 'Virtual Private Cloud']",1
2,Protect,Significant,False,"['Network', 'Virtual Private Cloud']",2
3,Protect,Significant,False,"['Network', 'Virtual Private Cloud']",3
4,Protect,Significant,False,"['Network', 'Virtual Private Cloud']",4
5,Protect,Significant,False,"['Network', 'Virtual Private Cloud']",5
6,Protect,Significant,False,"['Network', 'Virtual Private Cloud']",6
7,Protect,Significant,False,"['Network', 'Virtual Private Cloud']",7
8,Protect,Partial,False,"['Network', 'Virtual Private Cloud']",8
9,Protect,Partial,False,"['Network', 'Virtual Private Cloud']",9
10,Protect,Significant,False,"['Network', 'Virtual Private Cloud']",10
11,Protect,Significant,False,"['Network', 'Virtual Private Cloud']",11
12,Protect,Significant,False,"['Network', 'Virtual Private Cloud']",12
13,Protect,Significant,False,"['Network', 'Virtual Private Cloud']",13
14,Protect,Minimal,False,"['Network', 'Virtual Private Cloud']",14
