,comments,id,name,references,tags,mapping-description,mapping-target,metadata-key,key
0,,T1047,Windows Management Instrumentation,[],[],,action.hacking.variety.Abuse of functionality,0,0
1,,T1047,Windows Management Instrumentation,[],[],,action.hacking.vector.Command shell,1,1
2,,T1047,Windows Management Instrumentation,[],[],,action.malware.vector.Direct install,2,2
3,,T1053,Scheduled Task/Job,[],[],,action.hacking.variety.Abuse of functionality,3,3
4,,T1053,Scheduled Task/Job,[],[],,action.hacking.vector.Backdoor or C2,4,4
5,,T1053.001,Scheduled Task/Job: At (Linux),[],[],,action.hacking.variety.Abuse of functionality,5,5
6,,T1053.002,Scheduled Task/Job: At (Windows),[],[],,action.hacking.variety.Abuse of functionality,6,6
7,,T1053.003,Scheduled Task/Job: Cron,[],[],,action.hacking.variety.Abuse of functionality,7,7
8,,T1053.004,Scheduled Task/Job: Launchd,[],[],,action.hacking.variety.Abuse of functionality,8,8
9,,T1053.005,Scheduled Task/Job: Scheduled Task,[],[],,action.hacking.variety.Abuse of functionality,9,9
10,,T1053.006,Scheduled Task/Job: Systemd Timers,[],[],,action.hacking.variety.Abuse of functionality,10,10
11,,T1053.007,Scheduled Task/Job: Container Orchestration Job,[],[],,action.hacking.variety.Abuse of functionality,11,11
12,,T1059,Command and Scripting Interpreter,[],[],,action.hacking.variety.Abuse of functionality,12,12
13,,T1059,Command and Scripting Interpreter,[],[],,action.hacking.vector.Command shell,13,13
14,,T1059.001,Command and Scripting Interpreter: PowerShell,[],[],,action.hacking.variety.Abuse of functionality,14,14
15,,T1059.001,Command and Scripting Interpreter: PowerShell,[],[],,action.hacking.vector.Command shell,15,15
16,,T1059.002,Command and Scripting Interpreter: AppleScript,[],[],,action.hacking.variety.Abuse of functionality,16,16
17,,T1059.002,Command and Scripting Interpreter: AppleScript,[],[],,action.hacking.vector.Command shell,17,17
18,,T1059.003,Command and Scripting Interpreter: Windows Command Shell,[],[],,action.hacking.variety.Abuse of functionality,18,18
19,,T1059.003,Command and Scripting Interpreter: Windows Command Shell,[],[],,action.hacking.vector.Command shell,19,19
20,,T1059.004,Command and Scripting Interpreter: Unix Shell,[],[],,action.hacking.variety.Abuse of functionality,20,20
21,,T1059.004,Command and Scripting Interpreter: Unix Shell,[],[],,action.hacking.vector.Command shell,21,21
22,,T1059.005,Command and Scripting Interpreter: Visual Basic,[],[],,action.hacking.variety.Abuse of functionality,22,22
23,,T1059.005,Command and Scripting Interpreter: Visual Basic,[],[],,action.hacking.vector.Command shell,23,23
24,,T1059.005,Command and Scripting Interpreter: Visual Basic,[],[],,action.malware.vector.Email attachment,24,24
25,,T1059.006,Command and Scripting Interpreter: Python,[],[],,action.hacking.variety.Abuse of functionality,25,25
26,,T1059.006,Command and Scripting Interpreter: Python,[],[],,action.hacking.vector.Command shell,26,26
27,,T1059.007,Command and Scripting Interpreter: JavaScript,[],[],,action.hacking.variety.Abuse of functionality,27,27
