,mapping-version,attack-version,technology-domain,author,contact,creation-date,last-update,organization,mapping-platform,mapping-platform-version,key
0,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,0
1,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,1
2,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,2
3,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,3
4,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,4
5,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,5
6,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,6
7,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,7
8,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,8
9,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,9
10,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,10
11,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,11
12,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,12
13,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,13
14,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,14
15,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,15
16,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,16
17,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,17
18,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,18
19,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,19
20,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,20
21,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,21
22,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,22
23,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,23
24,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,24
25,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,25
26,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,26
27,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,27
28,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,28
29,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,29
30,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,30
31,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,31
32,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,32
33,1.9,9.0,enterprise,,,,,,VERIS Framework,1.3.5,33
