,tags,mapping-target,mapping-description,id,metadata-key,references,key,comments,name
0,[],action.hacking.variety.Abuse of functionality,,T1047,0,[],0,,Windows Management Instrumentation
1,[],action.hacking.vector.Command shell,,T1047,1,[],1,,Windows Management Instrumentation
2,[],action.malware.vector.Direct install,,T1047,2,[],2,,Windows Management Instrumentation
3,[],action.hacking.variety.Abuse of functionality,,T1053,3,[],3,,Scheduled Task/Job
4,[],action.hacking.variety.Backdoor,,T1053,4,[],4,,Scheduled Task/Job
5,[],action.hacking.vector.Backdoor,,T1053,5,[],5,,Scheduled Task/Job
6,[],action.hacking.variety.Abuse of functionality,,T1053.002,6,[],6,,Scheduled Task/Job: At
7,[],action.hacking.variety.Abuse of functionality,,T1053.003,7,[],7,,Scheduled Task/Job: Cron
8,[],action.hacking.variety.Abuse of functionality,,T1053.005,8,[],8,,Scheduled Task/Job: Scheduled Task
9,[],action.hacking.variety.Abuse of functionality,,T1053.006,9,[],9,,Scheduled Task/Job: Systemd Timers
10,[],action.hacking.variety.Abuse of functionality,,T1053.007,10,[],10,,Scheduled Task/Job: Container Orchestration Job
11,[],action.hacking.variety.Abuse of functionality,,T1059,11,[],11,,Command and Scripting Interpreter
12,[],action.hacking.variety.OS commanding,,T1059,12,[],12,,Command and Scripting Interpreter
13,[],action.hacking.vector.Command shell,,T1059,13,[],13,,Command and Scripting Interpreter
14,[],action.hacking.variety.Abuse of functionality,,T1059.001,14,[],14,,Command and Scripting Interpreter: PowerShell
15,[],action.hacking.vector.Command shell,,T1059.001,15,[],15,,Command and Scripting Interpreter: PowerShell
16,[],action.hacking.variety.Abuse of functionality,,T1059.002,16,[],16,,Command and Scripting Interpreter: AppleScript
17,[],action.hacking.variety.OS commanding,,T1059.002,17,[],17,,Command and Scripting Interpreter: AppleScript
18,[],action.hacking.vector.Command shell,,T1059.002,18,[],18,,Command and Scripting Interpreter: AppleScript
19,[],action.hacking.variety.Abuse of functionality,,T1059.003,19,[],19,,Command and Scripting Interpreter: Windows Command Shell
20,[],action.hacking.variety.OS commanding,,T1059.003,20,[],20,,Command and Scripting Interpreter: Windows Command Shell
21,[],action.hacking.vector.Command shell,,T1059.003,21,[],21,,Command and Scripting Interpreter: Windows Command Shell
22,[],action.hacking.variety.Abuse of functionality,,T1059.004,22,[],22,,Command and Scripting Interpreter: Unix Shell
23,[],action.hacking.variety.OS commanding,,T1059.004,23,[],23,,Command and Scripting Interpreter: Unix Shell
24,[],action.hacking.vector.Command shell,,T1059.004,24,[],24,,Command and Scripting Interpreter: Unix Shell
25,[],action.hacking.variety.Abuse of functionality,,T1059.005,25,[],25,,Command and Scripting Interpreter: Visual Basic
26,[],action.hacking.vector.Command shell,,T1059.005,26,[],26,,Command and Scripting Interpreter: Visual Basic
27,[],action.malware.vector.Email attachment,,T1059.005,27,[],27,,Command and Scripting Interpreter: Visual Basic
28,[],action.hacking.variety.Abuse of functionality,,T1059.006,28,[],28,,Command and Scripting Interpreter: Python
29,[],action.hacking.vector.Command shell,,T1059.006,29,[],29,,Command and Scripting Interpreter: Python
30,[],action.hacking.variety.Abuse of functionality,,T1059.007,30,[],30,,Command and Scripting Interpreter: JavaScript
31,[],action.hacking.vector.Command shell,,T1059.007,31,[],31,,Command and Scripting Interpreter: JavaScript
32,[],action.malware.vector.Email attachment,,T1059.007,32,[],32,,Command and Scripting Interpreter: JavaScript
33,[],action.hacking.variety.Abuse of functionality,,T1059.008,33,[],33,,Command and Scripting Interpreter: Network Device CLI
34,[],action.hacking.vector.Command shell,,T1059.008,34,[],34,,Command and Scripting Interpreter: Network Device CLI
35,[],action.hacking.variety.Abuse of functionality,,T1072,35,[],35,,Software Deployment Tools
36,[],action.malware.variety.Adminware,,T1072,36,[],36,,Software Deployment Tools
37,[],action.malware.vector.Software update,,T1072,37,[],37,,Software Deployment Tools
38,[],attribute.integrity.variety.Software installation,,T1072,38,[],38,,Software Deployment Tools
39,[],action.hacking.variety.Abuse of functionality,,T1106,39,[],39,,Native API
