,tags,mapping-target,mapping-description,id,metadata-key,references,key,comments,name
0,[],action.hacking.variety.Abuse of functionality,,T0800,0,[],0,,Activate Firmware Update Mode
1,[],action.hacking.variety.Evade Defenses,,T0800,1,[],1,,Activate Firmware Update Mode
2,[],attribute.availability.variety.Interruption,,T0800,2,[],2,,Activate Firmware Update Mode
3,[],attribute.integrity.variety.Hardware tampering,,T0800,3,[],3,,Activate Firmware Update Mode
4,[],action.hacking.variety.Abuse of functionality,,T0885,4,[],4,,Commonly Used Port
5,[],action.hacking.variety.Abuse of functionality,,T0816,5,[],5,,Device Restart/Shutdown
6,[],action.hacking.variety.DoS,,T0816,6,[],6,,Device Restart/Shutdown
7,[],action.malware.variety.DoS,,T0816,7,[],7,,Device Restart/Shutdown
8,[],attribute.availability.variety.Loss,,T0816,8,[],8,,Device Restart/Shutdown
9,[],action.hacking.variety.Abuse of functionality,,T0817,9,[],9,,Drive-by Compromise
10,[],action.malware.vector.Web application - drive-by,,T0817,10,[],10,,Drive-by Compromise
11,[],action.social.variety.Other,,T0817,11,[],11,,Drive-by Compromise
12,[],action.social.vector.Web application,,T0817,12,[],12,,Drive-by Compromise
13,[],value_chain.distribution.variety.Website,,T0817,13,[],13,,Drive-by Compromise
14,[],action.hacking.variety.Abuse of functionality,,T0871,14,[],14,,Execution through API
15,[],action.hacking.variety.Abuse of functionality,,T0823,15,[],15,,Graphical User Interface
16,[],action.hacking.variety.Abuse of functionality,,T0874,16,[],16,,Hooking
17,[],value_chain.targeting.variety.Weaknesses,,T0874,17,[],17,,Hooking
18,[],action.hacking.variety.Abuse of functionality,,T0867,18,[],18,,Lateral Tool Transfer
19,[],attribute.integrity.variety.Software installation,,T0867,19,[],19,,Lateral Tool Transfer
20,[],action.hacking.variety.Abuse of functionality,,T0855,20,[],20,,Unauthorized Command Message
21,[],action.hacking.variety.Backdoor,,T0855,21,[],21,,Unauthorized Command Message
22,[],action.hacking.vector.Backdoor,,T0855,22,[],22,,Unauthorized Command Message
23,[],action.hacking.vector.Command shell,,T0855,23,[],23,,Unauthorized Command Message
24,[],value_chain.targeting.variety.Misconfigurations,,T0855,24,[],24,,Unauthorized Command Message
25,[],value_chain.targeting.variety.Weaknesses,,T0855,25,[],25,,Unauthorized Command Message
26,[],action.hacking.variety.Abuse of functionality,,T0869,26,[],26,,Standard Application Layer Protocol
27,[],action.hacking.variety.Backdoor,,T0869,27,[],27,,Standard Application Layer Protocol
28,[],value_chain.non-distribution services.variety.C2,,T0869,28,[],28,,Standard Application Layer Protocol
29,[],action.hacking.variety.Abuse of functionality,,T0881,29,[],29,,Service Stop
30,[],attribute.availability.variety.Loss,,T0881,30,[],30,,Service Stop
31,[],attribute.integrity.variety.Alter behavior,,T0881,31,[],31,,Service Stop
32,[],action.hacking.variety.Abuse of functionality,,T0853,32,[],32,,Scripting
33,[],action.hacking.variety.Backdoor,,T0853,33,[],33,,Scripting
34,[],action.hacking.vector.Command shell,,T0853,34,[],34,,Scripting
35,[],action.hacking.variety.Backdoor,,T0822,35,[],35,,External Remote Services
