,relationship-type,veris-path,attack-object-key
0,related-to,action.hacking.variety.Abuse of functionality,0
1,related-to,action.hacking.variety.Evade Defenses,1
2,related-to,attribute.availability.variety.Interruption,2
3,related-to,attribute.integrity.variety.Hardware tampering,3
4,related-to,action.hacking.variety.Abuse of functionality,4
5,related-to,action.hacking.variety.Abuse of functionality,5
6,related-to,action.hacking.variety.DoS,6
7,related-to,action.malware.variety.DoS,7
8,related-to,attribute.availability.variety.Loss,8
9,related-to,action.hacking.variety.Abuse of functionality,9
10,related-to,action.malware.vector.Web application - drive-by,10
11,related-to,action.social.variety.Other,11
12,related-to,action.social.vector.Web application,12
13,related-to,value_chain.distribution.variety.Website,13
14,related-to,action.hacking.variety.Abuse of functionality,14
15,related-to,action.hacking.variety.Abuse of functionality,15
16,related-to,action.hacking.variety.Abuse of functionality,16
17,related-to,value_chain.targeting.variety.Weaknesses,17
18,related-to,action.hacking.variety.Abuse of functionality,18
19,related-to,attribute.integrity.variety.Software installation,19
20,related-to,action.hacking.variety.Abuse of functionality,20
21,related-to,action.hacking.variety.Backdoor,21
22,related-to,action.hacking.vector.Backdoor,22
23,related-to,action.hacking.vector.Command shell,23
24,related-to,value_chain.targeting.variety.Misconfigurations,24
25,related-to,value_chain.targeting.variety.Weaknesses,25
26,related-to,action.hacking.variety.Abuse of functionality,26
27,related-to,action.hacking.variety.Backdoor,27
28,related-to,value_chain.non-distribution services.variety.C2,28
29,related-to,action.hacking.variety.Abuse of functionality,29
30,related-to,attribute.availability.variety.Loss,30
31,related-to,attribute.integrity.variety.Alter behavior,31
32,related-to,action.hacking.variety.Abuse of functionality,32
33,related-to,action.hacking.variety.Backdoor,33
34,related-to,action.hacking.vector.Command shell,34
35,related-to,action.hacking.variety.Backdoor,35
36,related-to,action.hacking.vector.Backdoor,36
37,related-to,action.malware.variety.Backdoor or C2,37
38,related-to,action.social.variety.Other,38
39,related-to,action.social.vector.Other,39
40,related-to,value_chain.targeting.variety.Vulnerabilities,40
41,related-to,action.hacking.variety.Backdoor,41
42,related-to,action.hacking.variety.Exploit misconfig,42
43,related-to,action.social.variety.Other,43
44,related-to,action.social.vector.Other,44
45,related-to,action.hacking.variety.Backdoor,45
46,related-to,action.hacking.vector.Backdoor,46
47,related-to,action.social.variety.Other,47
48,related-to,action.social.vector.Other,48
49,related-to,value_chain.distribution.variety.Compromised server,49
50,related-to,action.hacking.variety.Backdoor,50
51,related-to,attribute.availability.variety.Degradation,51
52,related-to,attribute.integrity.variety.Modify data,52
53,related-to,action.hacking.variety.Backdoor,53
54,related-to,attribute.availability.variety.Degradation,54
55,related-to,action.hacking.variety.Brute force,55
56,related-to,action.hacking.variety.Disable controls,56
57,related-to,action.social.variety.Evade Defenses,57
58,related-to,attribute.integrity.variety.Alter behavior,58
59,related-to,action.hacking.variety.DoS,59
60,related-to,action.malware.variety.DoS,60
61,related-to,attribute.availability.variety.Loss,61
62,related-to,action.hacking.variety.DoS,62
63,related-to,action.malware.variety.DoS,63
64,related-to,attribute.availability.variety.Loss,64
65,related-to,action.hacking.variety.DoS,65
66,related-to,action.malware.variety.DoS,66
67,related-to,attribute.availability.variety.Loss,67
68,related-to,action.hacking.variety.Evade Defenses,68
69,related-to,attribute.availability.variety.Interruption,69
70,related-to,action.hacking.variety.Evade Defenses,70
71,related-to,attribute.availability.variety.Interruption,71
72,related-to,attribute.integrity.variety.Alter behavior,72
73,related-to,action.hacking.variety.Evade Defenses,73
74,related-to,attribute.availability.variety.Interruption,74
75,related-to,attribute.integrity.variety.Alter behavior,75
76,related-to,action.hacking.variety.Evade Defenses,76
77,related-to,action.hacking.variety.Exploit vuln,77
78,related-to,action.malware.variety.Evade Defenses,78
79,related-to,action.social.variety.Evade Defenses,79
80,related-to,action.hacking.variety.Evade Defenses,80
81,related-to,action.malware.variety.Evade Defenses,81
82,related-to,action.malware.variety.Modify data,82
83,related-to,action.social.variety.Evade Defenses,83
84,related-to,attribute.integrity.variety.Log tampering,84
85,related-to,action.hacking.variety.Exploit misconfig,85
86,related-to,action.hacking.vector.Web application,86
87,related-to,action.malware.variety.Exploit misconfig,87
88,related-to,action.malware.vector.Web application,88
89,related-to,action.social.variety.Other,89
90,related-to,action.social.vector.Web application,90
91,related-to,value_chain.targeting.variety.Weaknesses,91
92,related-to,action.hacking.variety.Exploit vuln,92
93,related-to,action.malware.variety.Exploit vuln,93
94,related-to,value_chain.targeting.variety.Vulnerabilities,94
95,related-to,action.hacking.variety.Exploit vuln,95
96,related-to,action.malware.variety.Exploit vuln,96
97,related-to,action.social.variety.Other,97
98,related-to,action.social.vector.Software,98
99,related-to,value_chain.targeting.variety.Weaknesses,99
100,related-to,action.hacking.variety.MitM,100
101,related-to,action.malware.variety.Packet sniffer,101
102,related-to,"attribute.confidentiality."""".data_disclosure",102
103,related-to,attribute.integrity.variety.Modify data,103
104,related-to,action.hacking.variety.MitM,104
105,related-to,action.malware.variety.Scan network,105
106,related-to,action.social.variety.Other,106
107,related-to,action.social.vector.Other,107
108,related-to,value_chain.targeting.variety.Other,108
109,related-to,action.hacking.variety.Use of stolen creds,109
110,related-to,value_chain.targeting.variety.Default credentials,110
111,related-to,action.hacking.variety.Use of stolen creds,111
112,related-to,"attribute.confidentiality."""".data_disclosure",112
113,related-to,value_chain.targeting.variety.Lost or stolen credentials,113
114,related-to,action.hacking.variety.Use of stolen creds,114
115,related-to,"attribute.confidentiality."""".data_disclosure",115
116,related-to,value_chain.targeting.variety.Lost or stolen credentials,116
117,related-to,action.hacking.vector.Backdoor,117
118,related-to,value_chain.non-distribution services.variety.Proxy,118
119,related-to,action.hacking.vector.Command shell,119
120,related-to,action.hacking.vector.Other network service,120
121,related-to,action.malware.variety.Packet sniffer,121
122,related-to,action.malware.variety.Scan network,122
123,related-to,value_chain.targeting.variety.Other,123
124,related-to,action.malware.variety.Backdoor,124
125,related-to,action.malware.vector.Partner,125
126,related-to,action.social.variety.Other,126
127,related-to,action.social.vector.In-person,127
128,related-to,value_chain.targeting.variety.Partner,128
129,related-to,action.malware.variety.Capture app data,129
130,related-to,action.malware.variety.Capture app data,130
131,related-to,action.malware.variety.Modify data,131
132,related-to,action.malware.variety.Capture app data,132
133,related-to,action.malware.variety.Capture stored data,133
134,related-to,"attribute.confidentiality."""".data_disclosure",134
135,related-to,value_chain.targeting.variety.Misconfigurations,135
136,related-to,action.malware.variety.Destroy data,136
137,related-to,attribute.availability.variety.Loss,137
138,related-to,action.malware.variety.Export data,138
139,related-to,"attribute.confidentiality."""".data_disclosure",139
140,related-to,value_chain.targeting.variety.Organizational Information,140
141,related-to,action.malware.variety.Profile host,141
142,related-to,action.malware.variety.Scan network,142
143,related-to,value_chain.targeting.variety.Organizational Information,143
144,related-to,action.malware.variety.Rootkit,144
