,tags,mapping-target,mapping-description,id,metadata-key,references,key,comments,name
0,[],action.hacking.variety.Abuse of functionality,,T1626,0,[],0,,Abuse Elevation Control Mechanism
1,[],action.hacking.variety.Exploit misconfig,,T1626,1,[],1,,Abuse Elevation Control Mechanism
2,[],action.malware.variety.Client-side attack,,T1626,2,[],2,,Abuse Elevation Control Mechanism
3,[],action.hacking.variety.Abuse of functionality,,T1626.001,3,[],3,,Abuse Elevation Control Mechanism: Device Administrator Permissions
4,[],action.malware.variety.Client-side attack,,T1626.001,4,[],4,,Abuse Elevation Control Mechanism: Device Administrator Permissions
5,[],action.hacking.variety.Abuse of functionality,,T1640,5,[],5,,Account Access Removal
6,[],attribute.availability.variety.Destruction,,T1640,6,[],6,,Account Access Removal
7,[],attribute.availability.variety.Interruption,,T1640,7,[],7,,Account Access Removal
8,[],attribute.integrity.variety.Modify configuration,,T1640,8,[],8,,Account Access Removal
9,[],action.hacking.variety.Abuse of functionality,,T1437,9,[],9,,Application Layer Protocol
10,[],action.hacking.vector.Backdoor,,T1437,10,[],10,,Application Layer Protocol
11,[],action.malware.variety.C2,,T1437,11,[],11,,Application Layer Protocol
12,[],action.hacking.variety.Abuse of functionality,,T1532,12,[],12,,Archive Collected Data
13,[],action.malware.variety.Modify data,,T1532,13,[],13,,Archive Collected Data
14,[],action.hacking.variety.Abuse of functionality,,T1398,14,[],14,,Boot or Logon Initialization Scripts
15,[],action.hacking.vector.Backdoor,,T1398,15,[],15,,Boot or Logon Initialization Scripts
16,[],action.malware.variety.Backdoor or C2,,T1398,16,[],16,,Boot or Logon Initialization Scripts
17,[],attribute.integrity.variety.Modify configuration,,T1398,17,[],17,,Boot or Logon Initialization Scripts
18,[],attribute.integrity.variety.Modify privileges,,T1398,18,[],18,,Boot or Logon Initialization Scripts
19,[],action.hacking.variety.Abuse of functionality,,T1623,19,[],19,,Command and Scripting Interpreter
20,[],action.hacking.vector.Command shell,,T1623,20,[],20,,Command and Scripting Interpreter
21,[],value_chain.distribution.variety.Phone,,T1623,21,[],21,,Command and Scripting Interpreter
22,[],action.hacking.variety.Abuse of functionality,,T1623.001,22,[],22,,Command and Scripting Interpreter: Unix Shell
23,[],action.hacking.vector.Command shell,,T1623.001,23,[],23,,Command and Scripting Interpreter: Unix Shell
24,[],value_chain.distribution.variety.Phone,,T1623.001,24,[],24,,Command and Scripting Interpreter: Unix Shell
25,[],action.hacking.variety.Abuse of functionality,,T1624,25,[],25,,Event Triggered Execution
26,[],attribute.integrity.variety.Alter behavior,,T1624,26,[],26,,Event Triggered Execution
