,relationship-type,veris-path,attack-object-key
0,related-to,action.hacking.variety.Abuse of functionality,0
1,related-to,action.hacking.vector.Command shell,1
2,related-to,action.malware.vector.Direct install,2
3,related-to,action.hacking.variety.Abuse of functionality,3
4,related-to,action.hacking.variety.Backdoor,4
5,related-to,action.hacking.vector.Backdoor,5
6,related-to,action.hacking.variety.Abuse of functionality,6
7,related-to,action.hacking.variety.Abuse of functionality,7
8,related-to,action.hacking.variety.Abuse of functionality,8
9,related-to,action.hacking.variety.Abuse of functionality,9
10,related-to,action.hacking.variety.Abuse of functionality,10
11,related-to,action.hacking.variety.Abuse of functionality,11
12,related-to,action.hacking.variety.OS commanding,12
13,related-to,action.hacking.vector.Command shell,13
14,related-to,action.hacking.variety.Abuse of functionality,14
15,related-to,action.hacking.vector.Command shell,15
16,related-to,action.hacking.variety.Abuse of functionality,16
17,related-to,action.hacking.variety.OS commanding,17
18,related-to,action.hacking.vector.Command shell,18
19,related-to,action.hacking.variety.Abuse of functionality,19
20,related-to,action.hacking.variety.OS commanding,20
21,related-to,action.hacking.vector.Command shell,21
22,related-to,action.hacking.variety.Abuse of functionality,22
23,related-to,action.hacking.variety.OS commanding,23
24,related-to,action.hacking.vector.Command shell,24
25,related-to,action.hacking.variety.Abuse of functionality,25
26,related-to,action.hacking.vector.Command shell,26
27,related-to,action.malware.vector.Email attachment,27
28,related-to,action.hacking.variety.Abuse of functionality,28
29,related-to,action.hacking.vector.Command shell,29
30,related-to,action.hacking.variety.Abuse of functionality,30
31,related-to,action.hacking.vector.Command shell,31
32,related-to,action.malware.vector.Email attachment,32
33,related-to,action.hacking.variety.Abuse of functionality,33
34,related-to,action.hacking.vector.Command shell,34
35,related-to,action.hacking.variety.Abuse of functionality,35
36,related-to,action.malware.variety.Adminware,36
37,related-to,action.malware.vector.Software update,37
38,related-to,attribute.integrity.variety.Software installation,38
39,related-to,action.hacking.variety.Abuse of functionality,39
40,related-to,action.hacking.variety.Abuse of functionality,40
41,related-to,action.hacking.variety.Abuse of functionality,41
42,related-to,action.hacking.variety.Unknown,42
43,related-to,action.hacking.variety.Abuse of functionality,43
44,related-to,action.hacking.variety.Unknown,44
45,related-to,action.hacking.variety.Abuse of functionality,45
46,related-to,action.hacking.variety.Abuse of functionality,46
47,related-to,action.hacking.variety.Abuse of functionality,47
48,related-to,action.hacking.variety.Abuse of functionality,48
49,related-to,action.hacking.variety.Abuse of functionality,49
50,related-to,action.hacking.variety.Abuse of functionality,50
51,related-to,action.hacking.variety.Abuse of functionality,51
