,comments,id,name,references,tags,mapping-description,mapping-target,metadata-key,key
0,,T0800,Activate Firmware Update Mode,[],[],,action.hacking.variety.Abuse of functionality,0,0
1,,T0800,Activate Firmware Update Mode,[],[],,action.hacking.variety.Evade Defenses,1,1
2,,T0800,Activate Firmware Update Mode,[],[],,attribute.availability.variety.Interruption,2,2
3,,T0800,Activate Firmware Update Mode,[],[],,attribute.integrity.variety.Hardware tampering,3,3
4,,T0885,Commonly Used Port,[],[],,action.hacking.variety.Abuse of functionality,4,4
5,,T0816,Device Restart/Shutdown,[],[],,action.hacking.variety.Abuse of functionality,5,5
6,,T0816,Device Restart/Shutdown,[],[],,action.hacking.variety.DoS,6,6
7,,T0816,Device Restart/Shutdown,[],[],,action.malware.variety.DoS,7,7
8,,T0816,Device Restart/Shutdown,[],[],,attribute.availability.variety.Loss,8,8
9,,T0817,Drive-by Compromise,[],[],,action.hacking.variety.Abuse of functionality,9,9
10,,T0817,Drive-by Compromise,[],[],,action.malware.vector.Web application - drive-by,10,10
11,,T0817,Drive-by Compromise,[],[],,action.social.variety.Other,11,11
12,,T0817,Drive-by Compromise,[],[],,action.social.vector.Web application,12,12
13,,T0817,Drive-by Compromise,[],[],,value_chain.distribution.variety.Website,13,13
14,,T0871,Execution through API,[],[],,action.hacking.variety.Abuse of functionality,14,14
15,,T0823,Graphical User Interface,[],[],,action.hacking.variety.Abuse of functionality,15,15
16,,T0874,Hooking,[],[],,action.hacking.variety.Abuse of functionality,16,16
17,,T0874,Hooking,[],[],,value_chain.targeting.variety.Weaknesses,17,17
18,,T0867,Lateral Tool Transfer,[],[],,action.hacking.variety.Abuse of functionality,18,18
19,,T0867,Lateral Tool Transfer,[],[],,attribute.integrity.variety.Software installation,19,19
20,,T0855,Unauthorized Command Message,[],[],,action.hacking.variety.Abuse of functionality,20,20
21,,T0855,Unauthorized Command Message,[],[],,action.hacking.variety.Backdoor,21,21
22,,T0855,Unauthorized Command Message,[],[],,action.hacking.vector.Backdoor,22,22
23,,T0855,Unauthorized Command Message,[],[],,action.hacking.vector.Command shell,23,23
24,,T0855,Unauthorized Command Message,[],[],,value_chain.targeting.variety.Misconfigurations,24,24
25,,T0855,Unauthorized Command Message,[],[],,value_chain.targeting.variety.Weaknesses,25,25
26,,T0869,Standard Application Layer Protocol,[],[],,action.hacking.variety.Abuse of functionality,26,26
27,,T0869,Standard Application Layer Protocol,[],[],,action.hacking.variety.Backdoor,27,27
28,,T0869,Standard Application Layer Protocol,[],[],,value_chain.non-distribution services.variety.C2,28,28
29,,T0881,Service Stop,[],[],,action.hacking.variety.Abuse of functionality,29,29
30,,T0881,Service Stop,[],[],,attribute.availability.variety.Loss,30,30
31,,T0881,Service Stop,[],[],,attribute.integrity.variety.Alter behavior,31,31
32,,T0853,Scripting,[],[],,action.hacking.variety.Abuse of functionality,32,32
33,,T0853,Scripting,[],[],,action.hacking.variety.Backdoor,33,33
34,,T0853,Scripting,[],[],,action.hacking.vector.Command shell,34,34
35,,T0822,External Remote Services,[],[],,action.hacking.variety.Backdoor,35,35
36,,T0822,External Remote Services,[],[],,action.hacking.vector.Backdoor,36,36
37,,T0822,External Remote Services,[],[],,action.malware.variety.Backdoor or C2,37,37
38,,T0822,External Remote Services,[],[],,action.social.variety.Other,38,38
39,,T0822,External Remote Services,[],[],,action.social.vector.Other,39,39
40,,T0822,External Remote Services,[],[],,value_chain.targeting.variety.Vulnerabilities,40,40
41,,T0883,Internet Accessible Device,[],[],,action.hacking.variety.Backdoor,41,41
42,,T0883,Internet Accessible Device,[],[],,action.hacking.variety.Exploit misconfig,42,42
43,,T0883,Internet Accessible Device,[],[],,action.social.variety.Other,43,43
44,,T0883,Internet Accessible Device,[],[],,action.social.vector.Other,44,44
45,,T0848,Rogue Master,[],[],,action.hacking.variety.Backdoor,45,45
46,,T0848,Rogue Master,[],[],,action.hacking.vector.Backdoor,46,46
47,,T0848,Rogue Master,[],[],,action.social.variety.Other,47,47
48,,T0848,Rogue Master,[],[],,action.social.vector.Other,48,48
49,,T0848,Rogue Master,[],[],,value_chain.distribution.variety.Compromised server,49,49
50,,T0835,Manipulate I/O Image,[],[],,action.hacking.variety.Backdoor,50,50
51,,T0835,Manipulate I/O Image,[],[],,attribute.availability.variety.Degradation,51,51
52,,T0835,Manipulate I/O Image,[],[],,attribute.integrity.variety.Modify data,52,52
53,,T0831,Manipulation of Control,[],[],,action.hacking.variety.Backdoor,53,53
54,,T0831,Manipulation of Control,[],[],,attribute.availability.variety.Degradation,54,54
55,,T0806,Brute Force I/O,[],[],,action.hacking.variety.Brute force,55,55
56,,T0858,Change Operating Mode,[],[],,action.hacking.variety.Disable controls,56,56
57,,T0858,Change Operating Mode,[],[],,action.social.variety.Evade Defenses,57,57
58,,T0858,Change Operating Mode,[],[],,attribute.integrity.variety.Alter behavior,58,58
59,,T0813,Denial of Control,[],[],,action.hacking.variety.DoS,59,59
60,,T0813,Denial of Control,[],[],,action.malware.variety.DoS,60,60
61,,T0813,Denial of Control,[],[],,attribute.availability.variety.Loss,61,61
62,,T0814,Denial of Service,[],[],,action.hacking.variety.DoS,62,62
63,,T0814,Denial of Service,[],[],,action.malware.variety.DoS,63,63
64,,T0814,Denial of Service,[],[],,attribute.availability.variety.Loss,64,64
65,,T0815,Denial of View,[],[],,action.hacking.variety.DoS,65,65
66,,T0815,Denial of View,[],[],,action.malware.variety.DoS,66,66
67,,T0815,Denial of View,[],[],,attribute.availability.variety.Loss,67,67
68,,T0878,Alarm Suppression,[],[],,action.hacking.variety.Evade Defenses,68,68
69,,T0878,Alarm Suppression,[],[],,attribute.availability.variety.Interruption,69,69
70,,T0804,Block Reporting Message,[],[],,action.hacking.variety.Evade Defenses,70,70
71,,T0804,Block Reporting Message,[],[],,attribute.availability.variety.Interruption,71,71
72,,T0804,Block Reporting Message,[],[],,attribute.integrity.variety.Alter behavior,72,72
73,,T0805,Block Serial COM,[],[],,action.hacking.variety.Evade Defenses,73,73
74,,T0805,Block Serial COM,[],[],,attribute.availability.variety.Interruption,74,74
75,,T0805,Block Serial COM,[],[],,attribute.integrity.variety.Alter behavior,75,75
76,,T0820,Exploitation for Evasion,[],[],,action.hacking.variety.Evade Defenses,76,76
