,comments,id,name,references,tags,mapping-description,mapping-target,metadata-key,key
0,,T1626,Abuse Elevation Control Mechanism,[],[],,action.hacking.variety.Abuse of functionality,0,0
1,,T1626,Abuse Elevation Control Mechanism,[],[],,action.hacking.variety.Exploit misconfig,1,1
2,,T1626,Abuse Elevation Control Mechanism,[],[],,action.malware.variety.Client-side attack,2,2
3,,T1626.001,Abuse Elevation Control Mechanism: Device Administrator Permissions,[],[],,action.hacking.variety.Abuse of functionality,3,3
4,,T1626.001,Abuse Elevation Control Mechanism: Device Administrator Permissions,[],[],,action.malware.variety.Client-side attack,4,4
5,,T1640,Account Access Removal,[],[],,action.hacking.variety.Abuse of functionality,5,5
6,,T1640,Account Access Removal,[],[],,attribute.availability.variety.Destruction,6,6
7,,T1640,Account Access Removal,[],[],,attribute.availability.variety.Interruption,7,7
8,,T1640,Account Access Removal,[],[],,attribute.integrity.variety.Modify configuration,8,8
9,,T1437,Application Layer Protocol,[],[],,action.hacking.variety.Abuse of functionality,9,9
10,,T1437,Application Layer Protocol,[],[],,action.hacking.vector.Backdoor,10,10
11,,T1437,Application Layer Protocol,[],[],,action.malware.variety.C2,11,11
12,,T1532,Archive Collected Data,[],[],,action.hacking.variety.Abuse of functionality,12,12
13,,T1532,Archive Collected Data,[],[],,action.malware.variety.Modify data,13,13
14,,T1398,Boot or Logon Initialization Scripts,[],[],,action.hacking.variety.Abuse of functionality,14,14
15,,T1398,Boot or Logon Initialization Scripts,[],[],,action.hacking.vector.Backdoor,15,15
16,,T1398,Boot or Logon Initialization Scripts,[],[],,action.malware.variety.Backdoor or C2,16,16
17,,T1398,Boot or Logon Initialization Scripts,[],[],,attribute.integrity.variety.Modify configuration,17,17
18,,T1398,Boot or Logon Initialization Scripts,[],[],,attribute.integrity.variety.Modify privileges,18,18
19,,T1623,Command and Scripting Interpreter,[],[],,action.hacking.variety.Abuse of functionality,19,19
20,,T1623,Command and Scripting Interpreter,[],[],,action.hacking.vector.Command shell,20,20
21,,T1623,Command and Scripting Interpreter,[],[],,value_chain.distribution.variety.Phone,21,21
22,,T1623.001,Command and Scripting Interpreter: Unix Shell,[],[],,action.hacking.variety.Abuse of functionality,22,22
23,,T1623.001,Command and Scripting Interpreter: Unix Shell,[],[],,action.hacking.vector.Command shell,23,23
24,,T1623.001,Command and Scripting Interpreter: Unix Shell,[],[],,value_chain.distribution.variety.Phone,24,24
25,,T1624,Event Triggered Execution,[],[],,action.hacking.variety.Abuse of functionality,25,25
26,,T1624,Event Triggered Execution,[],[],,attribute.integrity.variety.Alter behavior,26,26
27,,T1624.001,Event Triggered Execution: Broadcast Receivers,[],[],,action.hacking.variety.Abuse of functionality,27,27
28,,T1624.001,Event Triggered Execution: Broadcast Receivers,[],[],,attribute.integrity.variety.Alter behavior,28,28
29,,T1636,Protected User Data,[],[],,action.hacking.variety.Abuse of functionality,29,29
30,,T1636,Protected User Data,[],[],,action.malware.variety.Capture stored data,30,30
31,,T1636,Protected User Data,[],[],,"attribute.confidentiality."""".data_disclosure",31,31
32,,T1636.001,Protected User Data: Calendar Entries,[],[],,action.hacking.variety.Abuse of functionality,32,32
33,,T1636.001,Protected User Data: Calendar Entries,[],[],,action.malware.variety.Capture stored data,33,33
34,,T1636.001,Protected User Data: Calendar Entries,[],[],,"attribute.confidentiality."""".data_disclosure",34,34
35,,T1636.002,Protected User Data: Call Log,[],[],,action.hacking.variety.Abuse of functionality,35,35
36,,T1636.002,Protected User Data: Call Log,[],[],,action.malware.variety.Capture stored data,36,36
37,,T1636.002,Protected User Data: Call Log,[],[],,"attribute.confidentiality."""".data_disclosure",37,37
38,,T1636.003,Protected User Data: Contact List,[],[],,action.hacking.variety.Abuse of functionality,38,38
39,,T1636.003,Protected User Data: Contact List,[],[],,action.malware.variety.Capture stored data,39,39
40,,T1636.003,Protected User Data: Contact List,[],[],,"attribute.confidentiality."""".data_disclosure",40,40
41,,T1636.004,Protected User Data: SMS Messages,[],[],,action.hacking.variety.Abuse of functionality,41,41
42,,T1636.004,Protected User Data: SMS Messages,[],[],,action.malware.variety.Capture stored data,42,42
43,,T1636.004,Protected User Data: SMS Messages,[],[],,"attribute.confidentiality."""".data_disclosure",43,43
44,,T1603,Scheduled Task/Job,[],[],,action.hacking.variety.Abuse of functionality,44,44
45,,T1603,Scheduled Task/Job,[],[],,value_chain.distribution.variety.Phone,45,45
46,,T1541,Foreground Persistence,[],[],,action.hacking.variety.Abuse of functionality,46,46
47,,T1629.001,Impair Defenses: Prevent Application Removal,[],[],,action.hacking.variety.Abuse of functionality,47,47
48,,T1629.002,Impair Defenses: Device Lockout,[],[],,action.hacking.variety.Abuse of functionality,48,48
49,,T1629.002,Impair Defenses: Device Lockout,[],[],,attribute.availability.variety.Interruption,49,49
50,,T1629.002,Impair Defenses: Device Lockout,[],[],,attribute.integrity.variety.Modify configuration,50,50
51,,T1521,Encrypted Channel,[],[],,action.hacking.variety.Backdoor,51,51
52,,T1521,Encrypted Channel,[],[],,action.malware.variety.C2,52,52
53,,T1521.001,Encrypted Channel: Symmetric Cryptography,[],[],,action.hacking.variety.Backdoor,53,53
54,,T1521.001,Encrypted Channel: Symmetric Cryptography,[],[],,action.malware.variety.C2,54,54
55,,T1521.002,Encrypted Channel: Asymmetric Cryptography,[],[],,action.hacking.variety.Backdoor,55,55
56,,T1521.002,Encrypted Channel: Asymmetric Cryptography,[],[],,action.malware.variety.C2,56,56
57,,T1642,Endpoint Denial of Service,[],[],,action.hacking.variety.DoS,57,57
58,,T1642,Endpoint Denial of Service,[],[],,action.malware.variety.DoS,58,58
59,,T1642,Endpoint Denial of Service,[],[],,attribute.availability.variety.Degradation,59,59
60,,T1642,Endpoint Denial of Service,[],[],,attribute.availability.variety.Loss,60,60
61,,T1464,Network Denial of Service,[],[],,action.hacking.variety.DoS,61,61
62,,T1464,Network Denial of Service,[],[],,action.malware.variety.DoS,62,62
63,,T1464,Network Denial of Service,[],[],,attribute.availability.variety.Degradation,63,63
64,,T1464,Network Denial of Service,[],[],,attribute.availability.variety.Loss,64,64
65,,T1627,Execution Guardrails,[],[],,action.hacking.variety.Evade Defenses,65,65
66,,T1627,Execution Guardrails,[],[],,action.hacking.variety.Profile host,66,66
67,,T1627,Execution Guardrails,[],[],,action.malware.variety.Evade Defenses,67,67
68,,T1627,Execution Guardrails,[],[],,action.social.variety.Evade Defenses,68,68
69,,T1627.001,Execution Guardrails: GeoFencing,[],[],,action.hacking.variety.Evade Defenses,69,69
70,,T1627.001,Execution Guardrails: GeoFencing,[],[],,action.hacking.variety.Profile host,70,70
71,,T1627.001,Execution Guardrails: GeoFencing,[],[],,action.malware.variety.Evade Defenses,71,71
72,,T1627.001,Execution Guardrails: GeoFencing,[],[],,action.social.variety.Evade Defenses,72,72
73,,T1628,Hide Artifacts,[],[],,action.hacking.variety.Evade Defenses,73,73
74,,T1628,Hide Artifacts,[],[],,action.malware.variety.Evade Defenses,74,74
75,,T1628,Hide Artifacts,[],[],,action.social.variety.Evade Defenses,75,75
76,,T1628.001,Hide Artifacts: Suppress Application Icon,[],[],,action.hacking.variety.Evade Defenses,76,76
77,,T1628.001,Hide Artifacts: Suppress Application Icon,[],[],,action.malware.variety.Evade Defenses,77,77
78,,T1628.001,Hide Artifacts: Suppress Application Icon,[],[],,action.social.variety.Evade Defenses,78,78
79,,T1628.002,Hide Artifacts: User Evasion,[],[],,action.hacking.variety.Evade Defenses,79,79
80,,T1628.002,Hide Artifacts: User Evasion,[],[],,action.malware.variety.Evade Defenses,80,80
81,,T1628.002,Hide Artifacts: User Evasion,[],[],,action.social.variety.Evade Defenses,81,81
82,,T1630,Indicator Removal on Host,[],[],,action.hacking.variety.Evade Defenses,82,82
83,,T1630,Indicator Removal on Host,[],[],,action.malware.variety.Evade Defenses,83,83
84,,T1630,Indicator Removal on Host,[],[],,action.social.variety.Evade Defenses,84,84
85,,T1630,Indicator Removal on Host,[],[],,attribute.integrity.variety.Log tampering,85,85
86,,T1630,Indicator Removal on Host,[],[],,attribute.integrity.variety.Modify data,86,86
87,,T1406,Obfuscated Files or Information,[],[],,action.hacking.variety.Evade Defenses,87,87
88,,T1406,Obfuscated Files or Information,[],[],,action.malware.variety.Evade Defenses,88,88
89,,T1406,Obfuscated Files or Information,[],[],,action.social.variety.Evade Defenses,89,89
90,,T1406,Obfuscated Files or Information,[],[],,attribute.availability.variety.Obscuration,90,90
91,,T1406.001,Obfuscated Files or Information: Steganography,[],[],,action.hacking.variety.Evade Defenses,91,91
92,,T1406.001,Obfuscated Files or Information: Steganography,[],[],,action.malware.variety.Evade Defenses,92,92
93,,T1406.001,Obfuscated Files or Information: Steganography,[],[],,action.social.variety.Evade Defenses,93,93
94,,T1406.001,Obfuscated Files or Information: Steganography,[],[],,attribute.availability.variety.Obscuration,94,94
95,,T1406.002,Obfuscated Files or Information: Software Packing,[],[],,action.hacking.variety.Evade Defenses,95,95
96,,T1406.002,Obfuscated Files or Information: Software Packing,[],[],,action.malware.variety.Evade Defenses,96,96
97,,T1406.002,Obfuscated Files or Information: Software Packing,[],[],,action.social.variety.Evade Defenses,97,97
98,,T1406.002,Obfuscated Files or Information: Software Packing,[],[],,attribute.availability.variety.Obscuration,98,98
99,,T1644,Out of Band Data,[],[],,action.hacking.variety.Evade Defenses,99,99
100,,T1644,Out of Band Data,[],[],,action.hacking.vector.Backdoor,100,100
101,,T1644,Out of Band Data,[],[],,action.malware.variety.C2,101,101
102,,T1644,Out of Band Data,[],[],,action.malware.variety.Evade Defenses,102,102
103,,T1644,Out of Band Data,[],[],,action.social.variety.Evade Defenses,103,103
104,,T1404,Exploitation for Privilege Escalation,[],[],,action.hacking.variety.Exploit misconfig,104,104
105,,T1404,Exploitation for Privilege Escalation,[],[],,action.hacking.variety.Exploit vuln,105,105
106,,T1404,Exploitation for Privilege Escalation,[],[],,action.hacking.variety.Fuzz testing,106,106
107,,T1428,Exploitation of Remote Services,[],[],,action.hacking.variety.Exploit misconfig,107,107
108,,T1428,Exploitation of Remote Services,[],[],,action.malware.variety.Exploit vuln,108,108
109,,T1625,Hijack Execution Flow,[],[],,action.hacking.variety.Hijack,109,109
110,,T1625,Hijack Execution Flow,[],[],,action.hacking.variety.Unknown,110,110
111,,T1625.001,System Runtime API Hijacking,[],[],,action.hacking.variety.Hijack,111,111
112,,T1625.001,System Runtime API Hijacking,[],[],,action.hacking.variety.Unknown,112,112
113,,T1635.001,URI Hijacking,[],[],,action.hacking.variety.Hijack,113,113
114,,T1635.001,URI Hijacking,[],[],,action.hacking.variety.Use of stolen creds,114,114
115,,T1635.001,URI Hijacking,[],[],,action.malware.variety.MitM,115,115
116,,T1638,Adversary-in-the-Middle,[],[],,action.hacking.variety.MitM,116,116
117,,T1638,Adversary-in-the-Middle,[],[],,"attribute.confidentiality."""".data_disclosure",117,117
118,,T1426,System Information Discovery,[],[],,action.hacking.variety.Profile host,118,118
119,,T1418,Software Discovery,[],[],,action.hacking.variety.Profile host,119,119
120,,T1418.001,Software Discovery: Security Software Discovery,[],[],,action.hacking.variety.Profile host,120,120
121,,T1424,Process Discovery,[],[],,action.hacking.variety.Profile host,121,121
122,,T1422,System Network Configuration Discovery,[],[],,action.hacking.variety.Scan network,122,122
123,,T1421,System Network Connections Discovery,[],[],,action.hacking.variety.Scan network,123,123
124,,T1423,Network Service Scanning,[],[],,action.hacking.variety.Scan network,124,124
125,,T1631,Process Injection,[],[],,action.hacking.variety.Other,125,125
126,,T1631.001,Ptrace System Calls,[],[],,action.hacking.variety.Other,126,126
127,,T1577,Compromise Application Executable,[],[],,action.hacking.vector.Backdoor,127,127
128,,T1577,Compromise Application Executable,[],[],,action.malware.variety.Backdoor,128,128
129,,T1577,Compromise Application Executable,[],[],,action.malware.variety.Trojan,129,129
130,,T1577,Compromise Application Executable,[],[],,attribute.integrity.variety.Modify configuration,130,130
131,,T1645,Compromise Client Software Binary,[],[],,action.hacking.vector.Backdoor,131,131
132,,T1645,Compromise Client Software Binary,[],[],,attribute.integrity.variety.Modify configuration,132,132
133,,T1637,Dynamic Resolution ,[],[],,action.hacking.vector.Backdoor,133,133
134,,T1637,Dynamic Resolution ,[],[],,action.malware.variety.C2,134,134
135,,T1637.001,Dynamic Resolution: Domain Generation Algorithms,[],[],,action.hacking.vector.Backdoor,135,135
136,,T1637.001,Dynamic Resolution: Domain Generation Algorithms,[],[],,action.malware.variety.C2,136,136
137,,T1481,Web Service,[],[],,action.hacking.vector.Backdoor,137,137
138,,T1481.001,Web Service: Drop Dead Resolver,[],[],,action.hacking.vector.Backdoor,138,138
139,,T1481.002,Web Service: Biderectional Communication,[],[],,action.hacking.vector.Backdoor,139,139
