,Non-Mappable
0,action.hacking.variety.Cache poisoning
1,action.hacking.variety.CSRF
2,action.hacking.variety.Mail command injection
3,action.hacking.variety.Null byte injection
4,action.hacking.variety.OS commanding
5,action.hacking.variety.Path traversal
6,action.hacking.variety.Reverse engineering
7,action.hacking.variety.RFI
8,action.hacking.variety.Session prediction
9,action.hacking.variety.Session replay
10,action.hacking.variety.Special element injection
11,action.hacking.variety.SQLi
12,action.hacking.variety.SSI injection
13,action.hacking.variety.URL redirector abuse
14,action.hacking.variety.User breakout
15,action.hacking.variety.XQuery injection
16,action.hacking.variety.XSS
17,action.hacking.variety.Other
18,action.hacking.vector.Desktop sharing
19,action.hacking.vector.Other
20,action.hacking.vector.VPN
21,action.hacking.vector.Web application
22,action.hacking.vector.Unknown
23,action.hacking.result.Infiltrate
24,action.hacking.result.Exfiltrate
25,action.hacking.result.Elevate
26,action.hacking.result.Lateral movement
27,action.hacking.result.Deploy payload
28,action.hacking.result.Other
29,action.hacking.result.Unknown
30,action.hacking.result.NA
31,action.malware.variety.Downloader
32,action.malware.variety.Spam
33,action.malware.variety.SQL injection
34,action.malware.variety.Other
35,action.malware.vector.Email
36,action.malware.vector.Email autoexecute
37,action.malware.vector.Email unknown
38,action.malware.vector.Email other
39,action.malware.vector.Other
40,action.malware.vector.Unknown
41,action.malware.result.Infiltrate
42,action.malware.result.Exfiltrate
43,action.malware.result.Elevate
44,action.malware.result.Lateral movement
45,action.malware.result.Deploy payload
46,action.malware.result.Other
47,action.malware.result.Unknown
48,action.malware.result.NA
49,action.misuse.variety.Data mishandling
50,action.misuse.variety.Email misuse
51,action.misuse.variety.Illicit content
52,action.misuse.variety.Knowledge abuse
53,action.misuse.variety.Net misuse
54,action.misuse.variety.Possession abuse
55,action.misuse.variety.Privilege abuse
56,action.misuse.variety.Snap picture
57,action.misuse.variety.Unapproved hardware
58,action.misuse.variety.Unapproved software
59,action.misuse.variety.Unapproved workaround
60,action.misuse.variety.Other
61,action.misuse.variety.Unknown
62,action.misuse.vector.LAN access
63,action.misuse.vector.Non-corporate
64,action.misuse.vector.Physical access
65,action.misuse.vector.Remote access
66,action.misuse.vector.Web application
67,action.misuse.vector.Other
68,action.misuse.vector.Unknown
69,action.misuse.result.Infiltrate
70,action.misuse.result.Exfiltrate
71,action.misuse.result.Elevate
72,action.misuse.result.Lateral movement
73,action.misuse.result.Deploy payload
74,action.misuse.result.Other
75,action.misuse.result.Unknown
76,action.misuse.result.NA
77,action.social.variety.Baiting
78,action.social.variety.Bribery
79,action.social.variety.Elicitation
80,action.social.variety.Extortion
81,action.social.variety.Influence
82,action.social.variety.Propaganda
83,action.social.variety.Scam
84,action.social.variety.Spam
85,action.social.variety.Other
86,action.social.variety.Unknown
87,action.social.vector.Documents
88,action.social.vector.IM
89,action.social.vector.In-person
90,action.social.vector.Phone
91,action.social.vector.Removable media
92,action.social.vector.SMS
93,action.social.vector.Social media
94,action.social.vector.Software
95,action.social.vector.Website
96,action.social.vector.Other
97,action.social.vector.Unknown
98,action.social.target.Auditor
99,action.social.target.Call center
100,action.social.target.Cashier
101,action.social.target.Customer
102,action.social.target.Developer
103,action.social.target.End-user
104,action.social.target.End-user or employee
105,action.social.target.Executive
106,action.social.target.Finance
107,action.social.target.Former employee
108,action.social.target.Guard
109,action.social.target.Helpdesk
110,action.social.target.Human resources
111,action.social.target.Maintenance
112,action.social.target.Manager
113,action.social.target.Other employee
114,action.social.target.Partner
115,action.social.target.System admin
116,action.social.target.Other
117,action.social.target.Unknown
118,action.social.result.Infiltrate
119,action.social.result.Exfiltrate
120,action.social.result.Elevate
121,action.social.result.Lateral movement
122,action.social.result.Deploy payload
123,action.social.result.Other
124,action.social.result.Unknown
125,action.social.result.NA
126,attribute.integrity.variety.Fraudulent transaction
127,attribute.integrity.variety.Hardware tampering
128,attribute.integrity.variety.Software installation
129,attribute.integrity.variety.Other
130,value_chain.development.variety.NA
131,value_chain.non-distribution services.variety.C2
132,value_chain.non-distribution services.variety.Counter AV
133,value_chain.non-distribution services.variety.DNS
134,value_chain.non-distribution services.variety.Escrow
135,value_chain.non-distribution services.variety.Hashcracking
136,value_chain.non-distribution services.variety.Marketplace
137,value_chain.non-distribution services.variety.Proxy
138,value_chain.non-distribution services.variety.VPN
139,value_chain.non-distribution services.variety.NA
140,value_chain.non-distribution services.variety.Unknown
141,value_chain.targeting.variety.Default credentials
142,value_chain.targeting.variety.Misconfigurations
143,value_chain.targeting.variety.Partner
144,value_chain.targeting.variety.Vulnerabilities
145,value_chain.targeting.variety.Weaknesses
146,value_chain.targeting.variety.NA
147,value_chain.targeting.variety.Other
148,value_chain.targeting.variety.Unknown
149,value_chain.distribution.variety.Direct
150,value_chain.distribution.variety.Email
151,value_chain.distribution.variety.Loader
152,value_chain.distribution.variety.Partner
153,value_chain.distribution.variety.Phone
154,value_chain.distribution.variety.NA
155,attribute.confidentiality.data_disclosure
