,Non-Mappable
0,Action.Hacking.Variety.CSRF
1,Action.Hacking.Variety.Mail command injection
2,Action.Hacking.Variety.Path traversal
3,Action.Hacking.Variety.Reverse engineering
4,Action.Hacking.Variety.RFI
5,Action.Hacking.Variety.Soap array abuse
6,Action.Hacking.Variety.Special element injection
7,Action.Hacking.Variety.SSI injection
8,Action.Hacking.Variety.URL redirector abuse
9,Action.Hacking.Variety.User breakout
10,Action.Hacking.Variety.XML attribute blowup
11,Action.Hacking.Variety.XML entity expansion
12,Action.Hacking.Variety.XQuery injection
13,Action.Hacking.Variety.XSS
14,Action.Hacking.Variety.Other
15,Action.Hacking.Vector.Other
16,Action.Hacking.Vector.Unknown
17,Action.Malware.Variety.Spam
18,Action.Malware.Variety.Other
19,Action.Malware.Vector.Email autoexecute
20,Action.Malware.Vector.Email unknown
21,Action.Malware.Vector.Email other
22,Action.Malware.Vector.Other
23,Action.Malware.Vector.Unknown
24,Action.Social.Variety.Baiting
25,Action.Social.Variety.Bribery
26,Action.Social.Variety.Elicitation
27,Action.Social.Variety.Extortion
28,Action.Social.Variety.Influence
29,Action.Social.Variety.Prompt Bombing
30,Action.Social.Variety.Propaganda
31,Action.Social.Variety.Scam
32,Action.Social.Variety.Spam
33,Action.Social.Variety.Other
34,Action.Social.Variety.Unknown
35,Action.Social.Vector.Documents
36,Action.Social.Vector.IM
37,Action.Social.Vector.In-person
38,Action.Social.Vector.Phone
39,Action.Social.Vector.SMS
40,Action.Social.Vector.Other
41,Action.Social.Vector.Unknown
42,Attribute.Integrity.Variety.Fraudulent transaction
43,Attribute.Integrity.Variety.Hardware tampering
44,Attribute.Integrity.Variety.Other
45,Attribute.Availability.Variety.Acceleration
46,Attribute.Availability.Variety.Other
47,Attribute.Availability.Variety.Unknown
48,Value_chain.development.variety.Email
49,Value_chain.development.variety.Physical
50,Value_chain.development.variety.NA
